symbol,type,conf,strategy,buy_px,sell_px,ret,reason,bars,close
sh605488,Spring,92,paper_discipline_bull,9.131,10.509,0.1417,条件单:take_profit,11,2026-09-04 09:33:50
sh605499,Spring,90,paper_discipline_bull,102.222,94.908,-0.0789,条件单:stop_loss,14,2026-09-04 09:33:50
sh605566,Spring,100,paper_discipline_bull,19.235,22.227,0.1463,条件单:take_profit,16,2026-09-04 09:33:50
sh605555,Spring,100,paper_discipline_bull,10.367,12.952,0.2394,条件单:take_profit,33,2026-09-04 09:33:50
sh605589,Spring,84,screener_value_accumulation,18.348,21.442,0.1593,条件单:take_profit,27,2026-09-04 09:33:51
sh605566,ST,100,paper_discipline_bull,22.997,21.595,-0.0684,条件单:stop_loss,26,2026-09-04 09:33:52
sh605488,Spring,99,paper_discipline_bull,10.681,12.575,0.1679,条件单:take_profit,19,2026-09-04 09:33:52
sh605389,Spring,100,paper_discipline_bull,19.504,18.242,-0.0722,条件单:stop_loss,19,2026-09-04 09:33:53
sh605376,ST,100,paper_discipline_bull,30.734,27.907,-0.0992,条件单:stop_loss,1,2026-09-04 09:33:53
sh605376,ST,100,paper_discipline_bull,29.192,27.381,-0.0695,条件单:stop_loss,1,2026-09-04 09:33:53
sh605388,Spring,100,paper_discipline_bull,8.836,8.195,-0.0799,条件单:stop_loss,79,2026-09-04 09:33:53
sh605566,Spring,100,paper_discipline_bull,19.394,22.47,0.1494,条件单:take_profit,9,2026-09-04 09:33:54
sh605566,Spring,100,paper_discipline_bull,21.353,24.759,0.1503,条件单:take_profit,38,2026-09-04 09:33:56
sh605555,Spring,100,paper_discipline_bull,16.126,14.818,-0.0884,条件单:stop_loss,11,2026-09-04 09:33:57
sh605399,ST,100,paper_discipline_bull,15.09,18.225,0.1981,条件单:take_profit,1,2026-09-04 09:33:57
sh605399,ST,100,paper_discipline_bull,17.739,16.406,-0.0825,条件单:stop_loss,0,2026-09-04 09:33:57
sh605399,ST,100,paper_discipline_bull,16.548,15.384,-0.0777,条件单:stop_loss,2,2026-09-04 09:33:57
sh605500,Spring,100,paper_discipline_bull,6.966,6.234,-0.1122,条件单:stop_loss,70,2026-09-04 09:33:57
sh605499,Spring,100,paper_discipline_bull,90.09,103.959,0.1448,条件单:take_profit,24,2026-09-04 09:33:59
sh605377,Spring,95,paper_discipline_bull,9.635,11.118,0.1447,条件单:take_profit,40,2026-09-04 09:34:00
sh605376,Spring,95,paper_discipline_bull,18.684,22.483,0.1937,条件单:take_profit,0,2026-09-04 09:34:00
sh605376,Spring,95,paper_discipline_bull,22.528,20.438,-0.1,条件单:stop_loss,2,2026-09-04 09:34:00
sh605507,ST,100,paper_discipline_bull,10.158,11.966,0.1686,条件单:take_profit,35,2026-09-04 09:34:01
sh605598,Spring,100,paper_discipline_bull,16.146,18.914,0.1621,条件单:take_profit,11,2026-09-04 09:34:01
sh605598,Spring,100,screener_value_accumulation,18.203,21.174,0.1539,条件单:take_profit,19,2026-09-04 09:34:03
sh605567,Spring,100,screener_value_accumulation,8.919,8.266,-0.0806,条件单:stop_loss,19,2026-09-04 09:34:03
sh605588,Shakeout,97,paper_discipline_bull,38.672,44.678,0.1461,条件单:take_profit,5,2026-09-04 09:34:03
sh605398,Spring,100,paper_discipline_bull,14.475,13.565,-0.0703,条件单:stop_loss,27,2026-09-04 09:34:04
sh605388,ST,94,paper_discipline_bull,5.066,4.749,-0.07,条件单:stop_loss,25,2026-09-04 09:34:08
sh605555,ST,100,paper_discipline_bull,11.304,13.336,0.1704,条件单:take_profit,22,2026-09-04 09:34:10
sh605368,Spring,100,paper_discipline_bull,11.693,10.868,-0.078,条件单:stop_loss,87,2026-09-04 09:34:14
sh605368,Shakeout,100,paper_discipline_bull,10.604,9.884,-0.0753,条件单:stop_loss,51,2026-09-04 09:34:16
sh605589,Spring,100,paper_discipline_bull,23.273,26.918,0.1474,条件单:take_profit,17,2026-09-04 09:34:16
sh605389,Spring,98,screener_value_accumulation,19.711,22.926,0.1538,条件单:take_profit,5,2026-09-04 09:34:17
sh605389,Spring,98,screener_value_accumulation,22.739,20.514,-0.105,条件单:stop_loss,29,2026-09-04 09:34:18
sh605599,ST,100,paper_discipline_bull,9.832,11.299,0.14,条件单:take_profit,125,2026-09-04 09:34:18
sh605567,Spring,100,paper_discipline_bull,7.881,9.107,0.1464,条件单:take_profit,5,2026-09-04 09:34:18
sh605599,Shakeout,100,paper_discipline_bull,11.148,13.205,0.1751,条件单:take_profit,14,2026-09-04 09:34:20
sh605389,Spring,100,screener_value_accumulation,24.208,28.652,0.1741,条件单:take_profit,30,2026-09-04 09:34:23
sh605580,Spring,100,paper_discipline_bull,10.002,12.143,0.2044,条件单:take_profit,41,2026-09-04 09:34:23
sh605389,Shakeout,68,screener_value_accumulation,27.607,33.423,0.201,条件单:take_profit,6,2026-09-04 09:34:24
sh605488,Spring,92,paper_discipline_bull,30.346,35.667,0.166,条件单:take_profit,41,2026-09-04 09:34:25
sh605388,Spring,91,paper_discipline_bull,7.528,9.021,0.1888,条件单:take_profit,22,2026-09-04 09:34:25
sh605358,Spring,100,paper_discipline_bull,25.264,29.925,0.1751,条件单:take_profit,12,2026-09-04 09:34:27
sh605500,Spring,95,paper_discipline_bull,9.644,9.051,-0.069,条件单:stop_loss,20,2026-09-04 09:34:28
sh605399,Spring,100,paper_discipline_bull,12.643,14.685,0.1523,条件单:take_profit,28,2026-09-04 09:34:31
sh605599,Shakeout,87,screener_value_accumulation,14.367,16.699,0.1531,条件单:take_profit,37,2026-09-04 09:34:38
sh605507,Spring,90,paper_discipline_bull,15.561,18.708,0.1927,条件单:take_profit,74,2026-09-04 09:34:42
sh605366,Spring,87,screener_value_accumulation,6.246,7.223,0.1472,条件单:take_profit,20,2026-09-04 09:34:42
sh605499,Spring,97,paper_discipline_bull,191.426,178.147,-0.0768,条件单:stop_loss,18,2026-09-04 09:34:42
sh605555,Spring,92,paper_discipline_bull,17.097,15.729,-0.0873,条件单:stop_loss,10,2026-09-04 09:34:42
sh605580,ST,100,paper_discipline_bull,23.7,21.479,-0.1009,条件单:stop_loss,9,2026-09-04 09:34:43
sh605378,Spring,95,paper_discipline_bull,21.102,19.684,-0.0746,条件单:stop_loss,2,2026-09-04 09:34:43
sh605577,Spring,95,paper_discipline_bull,12.608,11.709,-0.0787,条件单:stop_loss,12,2026-09-04 09:34:44
sh605389,Spring,81,screener_value_accumulation,59.062,54.298,-0.088,条件单:stop_loss,5,2026-09-04 09:34:45
