symbol,type,conf,strategy,buy_px,sell_px,ret,reason,bars,close
sh605488,Spring,92,paper_discipline_bull,9.131,9.849,0.07,空头信号卖出,7,2026-09-04 09:32:06
sh605488,Spring,92,paper_discipline_bull,10.116,9.601,-0.0585,空头信号卖出,1,2026-09-04 09:32:06
sh605488,Spring,92,paper_discipline_bull,9.93,9.58,-0.0429,空头信号卖出,1,2026-09-04 09:32:06
sh605488,Spring,92,paper_discipline_bull,9.696,10.282,0.052,空头信号卖出,1,2026-09-04 09:32:06
sh605488,Shakeout,100,paper_discipline_bull,9.648,10.22,0.0508,空头信号卖出,1,2026-09-04 09:32:06
sh605499,Spring,90,paper_discipline_bull,102.222,94.908,-0.0789,条件单:stop_loss,14,2026-09-04 09:32:06
sh605555,Spring,100,paper_discipline_bull,10.367,12.952,0.2394,条件单:take_profit,33,2026-09-04 09:32:06
sh605566,Spring,100,paper_discipline_bull,20.561,23.973,0.1567,条件单:take_profit,52,2026-09-04 09:32:06
sh605369,ST,88,screener_value_accumulation,29.266,28.931,-0.0193,空头信号卖出,1,2026-09-04 09:32:06
sh605369,ST,88,screener_value_accumulation,28.13,27.656,-0.0247,空头信号卖出,1,2026-09-04 09:32:06
sh605388,Spring,100,paper_discipline_bull,8.836,9.441,0.06,空头信号卖出,30,2026-09-04 09:32:07
sh605488,Spring,99,paper_discipline_bull,10.199,10.039,-0.0235,空头信号卖出,1,2026-09-04 09:32:07
sh605488,Spring,99,paper_discipline_bull,10.074,10.116,-0.0038,空头信号卖出,1,2026-09-04 09:32:07
sh605488,Spring,99,paper_discipline_bull,10.067,10.416,0.0264,空头信号卖出,1,2026-09-04 09:32:07
sh605488,Spring,99,paper_discipline_bull,10.171,10.66,0.0397,空头信号卖出,1,2026-09-04 09:32:07
sh605488,Spring,99,paper_discipline_bull,10.43,10.541,0.0026,空头信号卖出,1,2026-09-04 09:32:07
sh605358,Spring,74,screener_value_accumulation,36.995,34.024,-0.0876,条件单:stop_loss,18,2026-09-04 09:32:07
sh605488,Spring,99,paper_discipline_bull,10.681,10.311,-0.0423,空头信号卖出,1,2026-09-04 09:32:07
sh605488,Spring,99,paper_discipline_bull,10.451,10.374,-0.0153,空头信号卖出,1,2026-09-04 09:32:07
sh605500,Spring,100,paper_discipline_bull,7.061,7.33,0.0298,空头信号卖出,17,2026-09-04 09:32:08
sh605368,Spring,100,paper_discipline_bull,7.794,8.61,0.0959,空头信号卖出,20,2026-09-04 09:32:08
sh605588,Spring,95,paper_discipline_bull,63.944,56.147,-0.1289,条件单:stop_loss,0,2026-09-04 09:32:08
sh605389,Spring,100,paper_discipline_bull,19.918,19.19,-0.0442,空头信号卖出,9,2026-09-04 09:32:08
sh605365,Spring,100,screener_value_accumulation,16.789,15.536,-0.082,条件单:stop_loss,4,2026-09-04 09:32:09
sh605376,ST,100,paper_discipline_bull,29.27,27.43,-0.0703,条件单:stop_loss,9,2026-09-04 09:32:09
sh605566,SC,95,screener_value_accumulation,20.615,18.864,-0.0922,条件单:stop_loss,18,2026-09-04 09:32:09
sh605376,ST,100,paper_discipline_bull,27.904,25.823,-0.082,条件单:stop_loss,2,2026-09-04 09:32:09
sh605566,Spring,100,paper_discipline_bull,19.394,22.47,0.1494,条件单:take_profit,9,2026-09-04 09:32:10
sh605507,Spring,100,paper_discipline_bull,13.252,13.384,0.0019,空头信号卖出,16,2026-09-04 09:32:11
sh605507,ST,75,screener_value_accumulation,13.384,13.132,-0.0266,空头信号卖出,1,2026-09-04 09:32:11
sh605507,ST,75,screener_value_accumulation,13.079,12.914,-0.0205,空头信号卖出,1,2026-09-04 09:32:11
sh605488,ST,100,paper_discipline_bull,10.192,12.812,0.247,条件单:take_profit,2,2026-09-04 09:32:11
sh605488,ST,100,paper_discipline_bull,12.705,11.642,-0.091,条件单:stop_loss,5,2026-09-04 09:32:11
sh605566,Spring,100,paper_discipline_bull,21.353,24.759,0.1503,条件单:take_profit,38,2026-09-04 09:32:11
sh605365,Spring,99,paper_discipline_bull,16.704,19.484,0.1571,条件单:take_profit,2,2026-09-04 09:32:11
sh605555,Spring,100,paper_discipline_bull,16.659,15.416,-0.082,条件单:stop_loss,8,2026-09-04 09:32:12
sh605365,Spring,99,paper_discipline_bull,18.442,20.243,0.0889,空头信号卖出,6,2026-09-04 09:32:12
sh605399,ST,100,paper_discipline_bull,12.637,15.06,0.1822,条件单:take_profit,2,2026-09-04 09:32:12
sh605555,Spring,100,paper_discipline_bull,15.688,14.636,-0.0745,条件单:stop_loss,9,2026-09-04 09:32:12
sh605399,ST,100,paper_discipline_bull,15.09,18.225,0.1981,条件单:take_profit,1,2026-09-04 09:32:12
sh605399,ST,100,paper_discipline_bull,17.739,16.406,-0.0825,条件单:stop_loss,0,2026-09-04 09:32:12
sh605377,ST,96,screener_value_accumulation,9.815,9.215,-0.0686,条件单:stop_loss,0,2026-09-04 09:32:12
sh605399,ST,100,paper_discipline_bull,16.548,16.809,0.0077,空头信号卖出,1,2026-09-04 09:32:12
sh605399,ST,100,paper_discipline_bull,14.794,15.876,0.0646,空头信号卖出,1,2026-09-04 09:32:12
sh605399,ST,100,paper_discipline_bull,16.36,15.384,-0.0672,空头信号卖出,1,2026-09-04 09:32:12
sh605377,Spring,95,paper_discipline_bull,9.223,9.19,-0.0115,空头信号卖出,1,2026-09-04 09:32:12
sh605377,Spring,95,paper_discipline_bull,9.364,9.155,-0.0301,空头信号卖出,1,2026-09-04 09:32:12
sh605377,Spring,95,paper_discipline_bull,9.198,9.595,0.0348,空头信号卖出,1,2026-09-04 09:32:12
sh605377,Spring,95,paper_discipline_bull,9.083,10.682,0.1667,条件单:take_profit,18,2026-09-04 09:32:13
