日期,代码,名称,类型,conf,5根,10根,20根,40根,净收益(扣成本),止损后净收益
2004-11-08,600001,邯郸钢铁,Spring,96,4.89%,4.22%,2.89%,0.44%,2.09%,2.09%
2005-03-24,600001,邯郸钢铁,Spring,96,3.42%,5.47%,7.29%,5.69%,6.49%,6.49%
2006-03-08,600001,邯郸钢铁,Spring,93,6.47%,-0.03%,-0.68%,26.82%,-1.48%,-1.48%
2006-04-28,600001,邯郸钢铁,Spring,96,9.06%,29.35%,60.14%,46.68%,59.34%,59.34%
2006-07-17,600001,邯郸钢铁,Spring,97,-1.42%,-3.12%,-3.68%,2.27%,-4.48%,-4.48%
2007-07-06,600001,邯郸钢铁,Spring,95,-2.13%,-1.15%,9.52%,38.59%,8.72%,8.72%
2008-03-17,600001,邯郸钢铁,Spring,98,7.14%,1.72%,-15.61%,-6.61%,-16.41%,-16.41%
2008-04-22,600001,邯郸钢铁,Spring,91,11.87%,12.21%,5.18%,-20.74%,4.38%,4.38%
2008-12-31,600001,邯郸钢铁,Spring,94,8.92%,13.23%,26.77%,26.46%,25.97%,25.97%
2009-09-01,600001,邯郸钢铁,Spring,94,10.00%,14.69%,-2.24%,6.73%,-3.04%,-3.04%
2009-09-29,600001,邯郸钢铁,Spring,94,7.69%,13.19%,11.65%,23.74%,10.85%,10.85%
2021-11-29,600861,北京人力,Spring,91,15.08%,14.38%,16.67%,21.78%,15.87%,15.87%
2021-12-03,601012,隆基绿能,Shakeout,98,5.56%,-0.41%,4.82%,-10.97%,4.02%,4.02%
2021-12-06,603288,海天味业,Spring,98,2.59%,-0.44%,-3.48%,-13.07%,-4.28%,-4.28%
2021-12-06,002242,九阳股份,Spring,96,3.50%,1.09%,6.55%,6.37%,5.75%,5.75%
2021-12-07,002757,南兴股份,Shakeout,92,7.36%,7.14%,10.39%,9.60%,9.59%,9.59%
2021-12-08,002481,双塔食品,Spring,93,1.29%,2.24%,19.88%,-5.29%,19.08%,19.08%
2021-12-21,603416,信捷电气,Spring,90,3.46%,1.52%,0.52%,-11.77%,-0.28%,-0.28%
2021-12-27,605196,华通线缆,Spring,94,2.64%,7.82%,-1.98%,2.64%,-2.78%,-2.78%
2021-12-30,603288,海天味业,Spring,91,4.40%,-1.68%,-7.85%,-2.39%,-8.65%,-8.65%
2022-01-12,002410,广联达,Spring,94,5.82%,4.78%,-6.14%,-23.76%,-6.94%,-6.94%
2022-01-25,600435,北方导航,Spring,99,5.34%,6.36%,10.57%,-2.95%,9.77%,9.77%
2022-01-25,002588,史丹利,Spring,98,7.63%,8.19%,19.18%,29.05%,18.38%,18.38%
2022-01-25,600273,嘉化能源,Spring,97,8.14%,5.93%,11.16%,-0.70%,10.36%,10.36%
2022-01-26,000828,东莞控股,Spring,99,5.14%,6.48%,12.14%,11.32%,11.34%,11.34%
2022-01-26,000582,北部湾港,Spring,95,11.04%,8.21%,9.56%,-0.13%,8.76%,8.76%
2022-01-26,000868,安凯客车,Spring,95,5.11%,3.49%,10.75%,30.65%,9.95%,9.95%
2022-01-27,002261,拓维信息,Spring,98,7.68%,4.49%,12.32%,-0.72%,11.52%,11.52%
2022-01-27,000544,中原环保,Spring,97,6.83%,7.83%,12.00%,4.83%,11.20%,11.20%
2022-01-27,002481,双塔食品,Spring,96,4.82%,1.04%,15.23%,11.07%,14.43%,14.43%
2022-01-27,600261,阳光照明,Spring,96,4.69%,5.47%,5.73%,0.00%,4.93%,4.93%
2022-01-27,605196,华通线缆,Spring,95,8.56%,7.46%,12.74%,-4.48%,11.94%,11.94%
2022-01-28,601958,金钼股份,Spring,98,8.11%,10.02%,11.76%,5.88%,10.96%,10.96%
2022-01-28,600299,安迪苏,Spring,97,9.43%,11.14%,18.06%,-11.32%,17.26%,17.26%
2022-01-28,002379,宏桥控股,Spring,96,5.11%,6.39%,12.78%,0.00%,11.98%,11.98%
2022-01-28,600968,海油发展,Spring,96,9.33%,9.70%,13.81%,-1.49%,13.01%,13.01%
2022-01-28,000686,东北证券,Spring,95,3.54%,1.53%,-2.83%,-7.20%,-3.63%,-3.63%
2022-01-28,000935,四川双马,Spring,95,6.42%,9.34%,-1.05%,-7.92%,-1.85%,-1.85%
2022-01-28,002757,南兴股份,Spring,95,6.71%,17.47%,35.16%,9.68%,34.36%,34.36%
2022-01-28,603299,苏盐井神,Spring,95,6.76%,6.88%,7.71%,0.36%,6.91%,6.91%
2022-01-28,000550,江铃汽车,Spring,93,3.21%,2.37%,-0.77%,-11.67%,-1.57%,-1.57%
2022-01-28,600998,九州通,Spring,92,2.17%,2.17%,6.81%,-1.12%,6.01%,6.01%
2022-02-07,600258,首旅酒店,Spring,97,11.35%,8.96%,2.76%,-4.54%,1.96%,1.96%
2022-02-22,600557,康缘药业,Spring,95,14.67%,23.91%,24.39%,24.49%,23.59%,23.59%
2022-02-25,600511,国药股份,Spring,97,3.59%,0.32%,17.36%,-0.93%,16.56%,16.56%
2022-03-09,000661,长春高新,Spring,99,9.75%,8.08%,0.69%,-1.12%,-0.11%,-0.11%
2022-03-09,002481,双塔食品,Spring,96,3.25%,4.42%,1.69%,8.96%,0.89%,0.89%
2022-03-09,600998,九州通,Spring,96,2.36%,8.45%,6.26%,10.40%,5.46%,5.46%
2022-03-09,002937,兴瑞科技,Shakeout,93,2.07%,4.32%,-13.02%,-13.78%,-13.82%,-13.82%
2022-03-15,600258,首旅酒店,Spring,99,16.17%,9.39%,16.36%,4.91%,15.56%,15.56%
2022-03-15,002039,黔源电力,Spring,96,4.02%,5.14%,5.51%,12.51%,4.71%,4.71%
2022-03-16,000885,城发环境,Spring,99,2.19%,4.48%,1.67%,-4.48%,0.87%,0.87%
2022-03-16,600882,妙可蓝多,Spring,98,12.78%,10.22%,4.68%,5.11%,3.88%,3.88%
2022-03-16,600261,阳光照明,Spring,97,4.92%,3.83%,-2.46%,-7.10%,-3.26%,-3.26%
2022-03-16,600273,嘉化能源,Spring,97,3.72%,7.75%,11.46%,12.89%,10.66%,10.66%
2022-03-16,600329,达仁堂,Spring,97,9.67%,14.48%,-8.34%,-16.72%,-9.14%,-9.14%
2022-03-16,002640,跨境通,Spring,96,14.13%,12.27%,17.10%,17.10%,16.30%,16.30%
2022-03-16,600612,老凤祥,Spring,96,3.71%,0.85%,0.17%,-7.44%,-0.63%,-0.63%
2022-03-16,600894,广日股份,Spring,96,9.33%,8.75%,2.44%,-9.61%,1.64%,1.64%
2022-03-16,601218,吉鑫科技,Spring,96,10.04%,17.31%,-1.28%,-13.03%,-2.08%,-2.08%
2022-03-16,000534,万泽股份,Spring,95,2.20%,5.30%,-0.90%,-5.54%,-1.70%,-1.70%
2022-03-16,002379,宏桥控股,Spring,95,4.58%,2.29%,9.15%,1.31%,8.35%,8.35%
2022-03-16,600035,楚天高速,Spring,95,2.26%,6.13%,8.06%,5.81%,7.26%,7.26%
2022-03-16,600559,老白干酒,Shakeout,95,6.90%,1.44%,1.39%,8.93%,0.59%,0.59%
2022-03-16,600861,北京人力,Spring,94,3.40%,8.80%,-2.72%,-20.45%,-3.52%,-3.52%
2022-03-16,002151,北斗星通,Spring,93,4.02%,0.51%,-4.02%,-10.14%,-4.82%,-4.82%
2022-03-16,002478,常宝股份,Spring,93,8.50%,8.98%,12.14%,0.24%,11.34%,11.34%
2022-03-16,000582,北部湾港,Spring,92,4.17%,3.06%,33.33%,7.08%,32.53%,32.53%
2022-03-16,000778,新兴铸管,Spring,92,3.49%,8.93%,12.85%,4.36%,12.05%,12.05%
2022-03-16,000683,博源化工,Spring,91,4.84%,16.72%,15.80%,1.02%,15.00%,15.00%
2022-03-16,600426,华鲁恒升,Shakeout,91,4.03%,2.70%,5.99%,-3.08%,5.19%,5.19%
2022-03-16,600435,北方导航,Spring,91,3.87%,-1.59%,-2.28%,-3.76%,-3.08%,-3.08%
2022-03-29,000935,四川双马,ST,91,12.42%,0.21%,-13.81%,9.74%,-14.61%,-14.61%
2022-04-08,000951,中国重汽,Spring,98,-1.79%,-13.09%,-18.54%,0.25%,-19.34%,-19.34%
2022-04-11,002903,宇环数控,Spring,95,24.73%,-5.04%,3.02%,5.64%,2.22%,2.22%
2022-04-12,000860,顺鑫农业,Spring,93,3.03%,-15.78%,-13.10%,-0.65%,-13.90%,-13.90%
2022-04-25,002061,浙江交科,Spring,99,25.84%,30.97%,19.82%,19.90%,19.02%,19.02%
2022-04-25,600761,安徽合力,Spring,96,12.76%,13.46%,18.68%,24.44%,17.88%,17.88%
2022-04-26,601012,隆基绿能,Spring,98,17.25%,22.02%,31.40%,58.66%,30.60%,30.60%
2022-04-26,000425,徐工机械,Spring,97,3.16%,6.54%,13.92%,14.98%,13.12%,13.12%
2022-04-26,000935,四川双马,Spring,96,16.34%,23.90%,29.62%,53.67%,28.82%,28.82%
2022-04-26,601958,金钼股份,Spring,95,12.82%,13.88%,12.97%,37.73%,12.17%,12.17%
