symbol,type,conf,buy_px,sell_px,ret,reason,bars,close
sh603416,Spring,95,32.927,38.813,0.1788,止盈,5,2026-08-31 11:48:35
sh603416,Spring,95,37.617,35.7,-0.051,止损,15,2026-08-31 11:48:35
sh600125,Spring,95,5.731,5.927,0.0342,到期,20,2026-08-31 11:48:35
sh601008,Spring,94,4.105,4.386,0.0685,到期,20,2026-08-31 11:48:35
sz301297,Spring,98,20.687,24.511,0.1849,止盈,3,2026-08-31 11:48:35
sh688195,Spring,95,25.655,29.591,0.1534,止盈,4,2026-08-31 11:48:35
sh688260,Spring,99,17.417,16.53,-0.0509,止损,12,2026-08-31 11:48:35
sh601519,Spring,97,7.838,7.802,-0.0046,到期,20,2026-08-31 11:48:35
sz301366,Spring,97,23.614,25.107,0.0632,到期,20,2026-08-31 11:48:35
sz301098,Spring,92,11.406,11.648,0.0212,到期,20,2026-08-31 11:48:35
sh605186,Spring,93,40.497,38.434,-0.0509,止损,5,2026-08-31 11:48:35
sz000852,Spring,95,6.106,7.023,0.1502,止盈,11,2026-08-31 11:48:35
sh600125,Spring,95,5.807,5.511,-0.051,止损,14,2026-08-31 11:48:35
bj920703,Spring,93,12.25,14.138,0.1541,止盈,3,2026-08-31 11:48:35
bj920703,Spring,93,13.922,13.213,-0.0509,止损,5,2026-08-31 11:48:35
sh601811,Spring,92,13.047,12.382,-0.051,止损,1,2026-08-31 11:48:35
bj920703,Spring,93,13.303,12.625,-0.051,止损,7,2026-08-31 11:48:35
sh601811,Spring,92,12.503,13.226,0.0578,到期,20,2026-08-31 11:48:35
sz002743,Spring,93,3.667,3.48,-0.051,止损,6,2026-08-31 11:48:35
sh605001,Spring,96,4.611,5.444,0.1807,止盈,13,2026-08-31 11:48:35
bj920163,Spring,93,14.603,14.701,0.0067,到期,20,2026-08-31 11:48:35
sz001210,Spring,99,6.464,7.691,0.1898,止盈,4,2026-08-31 11:48:35
sz002054,Spring,97,4.485,5.378,0.1991,止盈,4,2026-08-31 11:48:35
sz301098,Spring,97,7.258,8.952,0.2334,止盈,4,2026-08-31 11:48:35
sz301098,Spring,97,8.273,9.648,0.1662,止盈,1,2026-08-31 11:48:35
sz301098,Spring,97,10.205,9.685,-0.051,止损,1,2026-08-31 11:48:35
sz301098,Spring,97,9.07,8.608,-0.0509,止损,1,2026-08-31 11:48:35
sz301226,Spring,93,23.888,22.671,-0.0509,止损,1,2026-08-31 11:48:35
sz301226,Spring,93,22.017,20.895,-0.051,止损,3,2026-08-31 11:48:35
sz001210,Spring,99,7.288,7.737,0.0616,到期,20,2026-08-31 11:48:35
sz002054,Spring,97,5.182,5.436,0.049,到期,20,2026-08-31 11:48:35
sz301297,Spring,97,42.054,39.911,-0.051,止损,6,2026-08-31 11:48:36
sz301297,Spring,97,41.377,39.269,-0.0509,止损,6,2026-08-31 11:48:36
sz300333,Spring,90,13.864,13.158,-0.0509,止损,9,2026-08-31 11:48:36
sh600048,Spring,93,8.89,8.437,-0.051,止损,5,2026-08-31 11:48:36
sh601519,Spring,91,8.609,9.091,0.056,到期,20,2026-08-31 11:48:36
sh600048,Spring,95,7.616,7.814,0.026,到期,20,2026-08-31 11:48:36
sz300579,Spring,92,31.221,36.563,0.1711,止盈,1,2026-08-31 11:48:36
sz300579,Spring,92,32.532,37.712,0.1592,止盈,9,2026-08-31 11:48:36
sz300579,Spring,92,34.735,40.16,0.1562,止盈,2,2026-08-31 11:48:36
bj920163,Spring,97,17.922,17.827,-0.0053,到期,20,2026-08-31 11:48:36
