symbol,type,conf,buy_px,sell_px,ret,reason,bars,close
sh603416,Spring,95,32.927,38.813,0.1788,止盈,5,2026-08-31 12:20:46
sh603416,Spring,95,37.617,35.7,-0.051,止损,15,2026-08-31 12:20:46
sh601008,Spring,94,4.105,4.386,0.0685,到期,20,2026-08-31 12:20:46
sh603798,Spring,93,9.989,10.203,0.0214,到期,20,2026-08-31 12:20:46
sz301297,Spring,98,20.687,24.511,0.1849,止盈,3,2026-08-31 12:20:46
sz002117,Spring,91,8.601,8.163,-0.0509,止损,8,2026-08-31 12:20:46
sz002609,Spring,93,10.712,10.166,-0.051,止损,12,2026-08-31 12:20:46
sz000572,Spring,90,4.324,5.395,0.2477,止盈,5,2026-08-31 12:20:46
sz301098,Spring,92,11.406,11.648,0.0212,到期,20,2026-08-31 12:20:46
sh605186,Spring,93,40.497,38.434,-0.0509,止损,5,2026-08-31 12:20:46
sz000852,Spring,95,6.106,7.023,0.1502,止盈,11,2026-08-31 12:20:46
sh600125,Spring,95,5.759,5.466,-0.0509,止损,14,2026-08-31 12:20:46
bj920703,Spring,93,12.25,14.138,0.1541,止盈,3,2026-08-31 12:20:46
bj920703,Spring,93,13.922,13.213,-0.0509,止损,5,2026-08-31 12:20:46
sh601811,Spring,92,13.047,12.382,-0.051,止损,1,2026-08-31 12:20:46
bj920703,Spring,93,13.303,12.625,-0.051,止损,7,2026-08-31 12:20:46
sh601811,Spring,92,12.503,13.226,0.0578,到期,20,2026-08-31 12:20:46
sz002743,Spring,93,3.667,3.48,-0.051,止损,6,2026-08-31 12:20:46
sh605001,Spring,96,4.611,5.444,0.1807,止盈,13,2026-08-31 12:20:46
bj920163,Spring,93,14.336,14.878,0.0378,到期,20,2026-08-31 12:20:46
sz001210,Spring,99,6.464,7.691,0.1898,止盈,4,2026-08-31 12:20:47
sz300402,Spring,95,11.966,15.128,0.2642,止盈,4,2026-08-31 12:20:47
sz002481,Spring,94,4.047,4.89,0.2083,止盈,4,2026-08-31 12:20:47
sz002609,Spring,94,7.774,8.996,0.1572,止盈,1,2026-08-31 12:20:47
sz002609,Spring,94,9.103,8.639,-0.051,止损,1,2026-08-31 12:20:47
sh605186,Spring,96,21.011,19.94,-0.051,止损,4,2026-08-31 12:20:47
sz001210,Spring,99,7.898,7.496,-0.0509,止损,2,2026-08-31 12:20:47
sz301226,Spring,93,22.017,20.895,-0.051,止损,3,2026-08-31 12:20:47
sz002054,Spring,97,5.182,5.436,0.049,到期,20,2026-08-31 12:20:47
sz301297,Spring,97,42.054,39.911,-0.051,止损,6,2026-08-31 12:20:47
sz301297,Spring,97,41.377,39.269,-0.0509,止损,6,2026-08-31 12:20:47
sz300333,Spring,90,13.864,13.158,-0.0509,止损,9,2026-08-31 12:20:47
sh600048,Spring,93,8.89,8.437,-0.051,止损,5,2026-08-31 12:20:47
sh601519,Spring,91,8.709,8.941,0.0266,到期,20,2026-08-31 12:20:47
sh600048,Spring,95,7.616,7.814,0.026,到期,20,2026-08-31 12:20:47
sz300579,Spring,92,31.221,36.563,0.1711,止盈,1,2026-08-31 12:20:47
sz300579,Spring,92,32.532,37.712,0.1592,止盈,9,2026-08-31 12:20:47
sz300579,Spring,92,34.735,40.16,0.1562,止盈,2,2026-08-31 12:20:47
bj920163,Spring,97,17.922,17.827,-0.0053,到期,20,2026-08-31 12:20:47
sh605001,Spring,97,7.427,7.198,-0.0308,到期,20,2026-08-31 12:20:47
sh600650,Spring,97,16.091,15.94,-0.0094,到期,20,2026-08-31 12:20:47
sh603416,Spring,97,56.066,53.733,-0.0416,到期,20,2026-08-31 12:20:47
sz301098,Spring,92,8.859,9.141,0.0318,到期,20,2026-08-31 12:20:47
sh603331,Spring,96,11.351,12.248,0.079,到期,20,2026-08-31 12:20:47
sz300921,Spring,95,15.781,17.068,0.0816,到期,20,2026-08-31 12:20:47
sh603900,Spring,90,9.097,8.634,-0.0509,止损,15,2026-08-31 12:20:47
sh601811,Spring,93,13.721,13.597,-0.009,到期,20,2026-08-31 12:20:47
sh688716,Spring,97,37.807,44.195,0.169,止盈,14,2026-08-31 12:20:47
sz001896,Spring,91,5.215,6.004,0.1513,止盈,6,2026-08-31 12:20:47
sz001896,Spring,91,5.485,6.374,0.1621,止盈,1,2026-08-31 12:20:47
sh601008,Spring,91,5.102,5.211,0.0214,到期,20,2026-08-31 12:20:47
sz001896,Spring,91,6.246,6.843,0.0956,到期,20,2026-08-31 12:20:47
sh600125,Shakeout,93,6.314,6.36,0.0073,到期,20,2026-08-31 12:20:47
sh601997,Spring,95,5.561,5.616,0.0099,到期,20,2026-08-31 12:20:47
sh601162,Spring,98,4.004,3.8,-0.0509,止损,19,2026-08-31 12:20:47
sz300204,Spring,94,24.785,23.522,-0.051,止损,11,2026-08-31 12:20:47
sh605598,Spring,93,46.062,53.908,0.1703,止盈,6,2026-08-31 12:20:47
sz001210,Spring,97,14.205,17.216,0.212,止盈,7,2026-08-31 12:20:47
sz001210,Spring,97,16.314,18.938,0.1608,止盈,1,2026-08-31 12:20:47
sz001210,Spring,97,18.642,21.446,0.1504,止盈,4,2026-08-31 12:20:47
sh601519,Spring,92,10.51,10.43,-0.0076,到期,20,2026-08-31 12:20:47
sz002054,Spring,92,8.019,7.852,-0.0208,到期,20,2026-08-31 12:20:47
sh600650,Spring,96,11.882,11.277,-0.0509,止损,10,2026-08-31 12:20:47
sz300980,Spring,92,25.825,31.126,0.2053,止盈,2,2026-08-31 12:20:48
sz300980,Spring,92,30.81,29.24,-0.051,止损,8,2026-08-31 12:20:48
