symbol,type,conf,buy_px,sell_px,ret,reason,bars,close
sh603416,Spring,95,32.927,38.813,0.1788,止盈,5,2026-08-31 11:39:29
sz300124,Spring,96,57.754,68.99,0.1945,止盈,14,2026-08-31 11:39:29
sh605376,Spring,94,29.465,34.002,0.154,止盈,20,2026-08-31 11:39:29
sh603416,Spring,95,37.617,35.7,-0.051,止损,15,2026-08-31 11:39:29
sh601008,Spring,94,4.095,4.357,0.064,到期,20,2026-08-31 11:39:29
sz300730,Spring,94,12.643,14.675,0.1607,止盈,11,2026-08-31 11:39:29
sh688195,Spring,95,25.655,29.591,0.1534,止盈,4,2026-08-31 11:39:29
sz002117,Spring,91,8.601,8.163,-0.0509,止损,8,2026-08-31 11:39:29
sz301525,Spring,95,58.849,69.031,0.173,止盈,10,2026-08-31 11:39:29
sz300540,Spring,98,16.377,16.949,0.0349,到期,20,2026-08-31 11:39:29
sz300730,Spring,94,12.593,14.915,0.1844,止盈,20,2026-08-31 11:39:29
sh600398,Spring,95,6.191,6.286,0.0153,到期,20,2026-08-31 11:39:29
bj920703,Spring,93,12.25,14.138,0.1541,止盈,3,2026-08-31 11:39:29
bj920703,Spring,93,13.922,13.213,-0.0509,止损,5,2026-08-31 11:39:29
sh688690,Spring,91,18.768,21.704,0.1564,止盈,5,2026-08-31 11:39:29
bj920703,Spring,93,13.303,12.625,-0.051,止损,7,2026-08-31 11:39:29
sh688690,Spring,91,21.33,20.243,-0.051,止损,15,2026-08-31 11:39:29
sz002743,Spring,93,3.667,3.48,-0.051,止损,6,2026-08-31 11:39:29
sh605001,Spring,96,4.611,5.444,0.1807,止盈,13,2026-08-31 11:39:29
sz001269,Spring,97,22.012,26.583,0.2077,止盈,3,2026-08-31 11:39:29
bj920346,Spring,94,10.638,13.74,0.2916,止盈,4,2026-08-31 11:39:29
sh603416,Spring,93,27.309,34.423,0.2605,止盈,4,2026-08-31 11:39:29
sz001269,Spring,97,24.755,29.241,0.1812,止盈,1,2026-08-31 11:39:29
bj920346,Spring,94,12.421,17.521,0.4106,止盈,1,2026-08-31 11:39:29
bj920346,Spring,94,16.839,15.981,-0.051,止损,1,2026-08-31 11:39:29
sz300828,Spring,93,14.183,13.46,-0.051,止损,1,2026-08-31 11:39:29
sz001269,Spring,97,27.728,26.315,-0.051,止损,4,2026-08-31 11:39:29
sz301226,Spring,93,23.888,22.671,-0.0509,止损,1,2026-08-31 11:39:29
sz001269,Spring,97,27.517,26.115,-0.051,止损,2,2026-08-31 11:39:29
sz301226,Spring,93,22.017,20.895,-0.051,止损,3,2026-08-31 11:39:29
sh603416,Spring,93,32.601,33.937,0.041,到期,20,2026-08-31 11:39:29
sz300228,Spring,90,6.979,7.023,0.0063,到期,20,2026-08-31 11:39:29
sz300333,Spring,90,13.864,13.158,-0.0509,止损,9,2026-08-31 11:39:29
sz002319,Spring,92,10.551,10.619,0.0064,到期,20,2026-08-31 11:39:29
sh688690,Spring,90,21.568,22.329,0.0353,到期,20,2026-08-31 11:39:29
sz301018,Spring,94,23.358,27.293,0.1685,止盈,7,2026-08-31 11:39:29
sh600398,Spring,94,6.368,6.55,0.0286,到期,20,2026-08-31 11:39:29
sz300441,Spring,94,7.381,8.157,0.1051,到期,20,2026-08-31 11:39:29
sz301018,Spring,94,26.341,27.777,0.0545,到期,20,2026-08-31 11:39:29
sh603657,Spring,90,29.85,35.145,0.1774,止盈,11,2026-08-31 11:39:29
sh605001,Spring,97,7.427,7.198,-0.0308,到期,20,2026-08-31 11:39:29
sh601330,Spring,96,6.727,6.561,-0.0247,到期,20,2026-08-31 11:39:29
sh600650,Spring,97,16.091,15.94,-0.0094,到期,20,2026-08-31 11:39:30
sz002852,Spring,91,10.698,10.548,-0.014,到期,20,2026-08-31 11:39:30
sz300921,Spring,95,15.345,17.004,0.1081,到期,20,2026-08-31 11:39:30
sz300828,Spring,93,15.351,16.496,0.0746,到期,20,2026-08-31 11:39:30
sh688690,Spring,97,25.372,29.178,0.15,止盈,15,2026-08-31 11:39:30
sh688411,Spring,91,227.021,276.751,0.2191,止盈,4,2026-08-31 11:39:30
sh601008,Spring,91,5.013,5.28,0.0533,到期,20,2026-08-31 11:39:30
sh688411,Spring,91,249.126,236.433,-0.051,止损,5,2026-08-31 11:39:30
sh688411,Spring,91,239.468,227.267,-0.051,止损,3,2026-08-31 11:39:30
sh603657,Spring,90,27.828,28.192,0.0131,到期,20,2026-08-31 11:39:30
sh603657,Spring,93,28.328,26.885,-0.0509,止损,7,2026-08-31 11:39:30
sh603289,Spring,96,10.651,10.108,-0.051,止损,11,2026-08-31 11:39:30
sz300730,Spring,92,12.573,13.936,0.1084,到期,20,2026-08-31 11:39:30
sh600650,Spring,96,12.09,11.474,-0.051,止损,9,2026-08-31 11:39:30
