日期,代码,名称,类型,conf,5根,10根,20根,40根,净收益(扣成本),止损后净收益
2023-10-26,002466,天齐锂业,Spring,30,0.10%,5.13%,-0.06%,-0.53%,-0.86%,-0.86%
2023-10-26,399006,创业板指,Spring,42,3.40%,7.60%,4.56%,-2.31%,3.76%,3.76%
2023-11-01,600104,上汽集团,Spring,37,2.69%,-0.28%,3.65%,-8.40%,2.85%,2.85%
2023-11-27,002594,比亚迪,SC,59,-5.99%,-4.65%,-8.00%,-10.08%,-8.80%,-5.40%
2023-12-01,002466,天齐锂业,Spring,89,10.93%,6.84%,11.31%,1.78%,10.51%,10.51%
2023-12-08,688981,中芯国际,SC,97,2.00%,4.26%,-5.80%,-18.23%,-6.60%,-6.60%
2023-12-11,600809,山西汾酒,SC,78,-3.25%,0.47%,-6.47%,-2.57%,-7.27%,-7.27%
2023-12-11,000858,五 粮 液,SC,58,-3.74%,-3.34%,-8.18%,-4.46%,-8.98%,-8.98%
2023-12-18,000703,恒逸石化,SC,70,0.60%,0.60%,0.75%,6.17%,-0.05%,-0.05%
2023-12-21,600732,爱旭股份,Spring,91,12.60%,5.48%,15.80%,-2.28%,15.00%,15.00%
2023-12-21,399006,创业板指,Spring,52,2.56%,-3.11%,-6.39%,-4.42%,-7.19%,-7.19%
2023-12-21,600809,山西汾酒,Spring,77,5.22%,-2.94%,-7.33%,2.93%,-8.13%,-8.13%
2023-12-22,510300,沪深300ETF华泰柏瑞,SC,70,2.73%,-1.67%,-5.87%,2.29%,-6.67%,-6.67%
2023-12-27,300009,安科生物,Spring,77,3.09%,-2.29%,-9.57%,-1.20%,-10.37%,-10.37%
2024-01-05,600276,恒瑞医药,SC,60,-2.03%,-1.29%,-14.30%,3.93%,-15.10%,-15.10%
2024-01-08,601816,京沪高铁,Spring,97,2.57%,2.57%,7.07%,7.92%,6.27%,6.27%
2024-01-09,002415,海康威视,SC,56,-1.54%,-1.32%,4.49%,9.18%,3.69%,3.69%
2024-01-17,600809,山西汾酒,Spring,97,2.20%,1.89%,19.61%,27.16%,18.81%,18.81%
2024-01-18,600104,上汽集团,SC,81,2.92%,2.54%,11.44%,11.07%,10.64%,10.64%
2024-01-18,510300,沪深300ETF华泰柏瑞,SC,97,2.05%,-1.53%,6.43%,8.29%,5.63%,5.63%
2024-01-18,510300,沪深300ETF华泰柏瑞,Spring,99,2.05%,-1.53%,6.43%,8.29%,5.63%,5.63%
2024-01-18,300009,安科生物,SC,75,-2.26%,-10.13%,3.99%,5.93%,3.19%,3.19%
2024-01-18,688981,中芯国际,SC,86,3.55%,-6.49%,-1.45%,-0.09%,-2.25%,-2.25%
2024-01-18,688981,中芯国际,ST,86,3.55%,-6.49%,-1.45%,-0.09%,-2.25%,-2.25%
2024-01-18,301166,优宁维,SC,56,-3.90%,-16.71%,-11.11%,-9.29%,-11.91%,-11.91%
2024-01-18,000858,五 粮 液,Spring,97,2.51%,-1.09%,10.80%,19.96%,10.00%,10.00%
2024-01-18,000858,五 粮 液,ST,95,2.51%,-1.09%,10.80%,19.96%,10.00%,10.00%
2024-01-18,600104,上汽集团,Spring,75,2.92%,2.54%,11.44%,11.07%,10.64%,10.64%
2024-01-18,002956,西麦食品,SC,58,-6.05%,-18.30%,-15.10%,-12.75%,-15.90%,-5.40%
2024-01-23,000001,上证指数,Spring,99,2.15%,0.67%,6.74%,8.02%,5.94%,5.94%
2024-01-23,000725,京东方Ａ,Spring,77,1.96%,6.70%,8.94%,10.34%,8.14%,8.14%
2024-01-30,300750,宁德时代,Spring,97,12.49%,14.53%,16.26%,40.43%,15.46%,15.46%
2024-01-30,002594,比亚迪,SC,53,2.27%,6.41%,11.44%,21.04%,10.64%,10.64%
2024-02-02,510300,沪深300ETF华泰柏瑞,ST,94,6.30%,8.00%,12.33%,9.69%,11.53%,11.53%
2024-02-02,300333,兆日科技,SC,58,-17.26%,4.76%,3.37%,-2.18%,2.57%,-5.40%
2024-02-02,600276,恒瑞医药,Spring,99,15.88%,17.05%,21.28%,26.43%,20.48%,20.48%
2024-02-02,002415,海康威视,Spring,95,8.75%,10.33%,10.04%,0.32%,9.24%,9.24%
2024-02-05,600732,爱旭股份,Spring,87,11.82%,18.35%,22.01%,11.12%,21.21%,21.21%
2024-02-05,002466,天齐锂业,Spring,89,8.83%,17.90%,27.95%,19.50%,27.15%,27.15%
2024-02-05,399006,创业板指,SC,97,11.75%,14.81%,21.98%,14.05%,21.18%,21.18%
2024-02-05,399006,创业板指,Spring,97,11.75%,14.81%,21.98%,14.05%,21.18%,21.18%
2024-02-05,000703,恒逸石化,Spring,99,13.81%,10.32%,7.78%,9.05%,6.98%,6.98%
2024-02-05,300009,安科生物,Spring,97,20.49%,21.60%,22.35%,19.51%,21.55%,21.55%
2024-02-05,603799,华友钴业,SC,55,13.11%,21.56%,27.87%,36.18%,27.07%,27.07%
2024-02-05,688111,金山办公,Spring,82,15.41%,23.30%,33.58%,35.74%,32.78%,32.78%
2024-02-06,300864,南大环境,SC,78,15.93%,16.41%,29.02%,33.15%,28.22%,28.22%
2024-02-06,002117,东港股份,SC,57,25.84%,25.00%,39.86%,37.16%,39.06%,39.06%
2024-02-06,301098,金埔园林,SC,61,15.41%,15.70%,25.19%,20.89%,24.39%,24.39%
2024-02-07,301098,金埔园林,Shakeout,64,33.50%,33.66%,37.91%,21.73%,37.11%,37.11%
2024-03-04,601816,京沪高铁,LPS,61,1.20%,1.20%,1.60%,5.41%,0.80%,0.80%
2024-03-06,002956,西麦食品,ST,72,6.12%,8.57%,13.02%,21.68%,12.22%,12.22%
2024-03-22,600809,山西汾酒,LPS,58,-0.72%,-0.53%,0.63%,2.14%,-0.17%,-0.17%
2024-03-25,000703,恒逸石化,ST,52,5.12%,6.21%,6.52%,14.91%,5.72%,5.72%
