日期,代码,名称,类型,conf,5根,10根,20根,40根,净收益(扣成本),止损后净收益
2023-12-08,688981,中芯国际,SC,97,2.00%,4.26%,-5.80%,-18.23%,-6.60%,-6.60%
2023-12-21,600732,爱旭股份,Spring,91,12.60%,5.48%,15.80%,-2.28%,15.00%,15.00%
2024-01-08,601816,京沪高铁,Spring,97,2.57%,2.57%,7.07%,7.92%,6.27%,6.27%
2024-01-17,600809,山西汾酒,Spring,97,2.20%,1.89%,19.61%,27.16%,18.81%,18.81%
2024-01-18,510300,沪深300ETF华泰柏瑞,Spring,99,2.05%,-1.53%,6.43%,8.29%,5.63%,5.63%
2024-01-23,000001,上证指数,Spring,99,2.15%,0.67%,6.74%,8.02%,5.94%,5.94%
2024-01-30,300750,宁德时代,Spring,97,12.49%,14.53%,16.26%,40.43%,15.46%,15.46%
2024-02-02,600276,恒瑞医药,Spring,99,15.88%,17.05%,21.28%,26.43%,20.48%,20.48%
2024-02-05,000703,恒逸石化,Spring,99,13.81%,10.32%,7.78%,9.05%,6.98%,6.98%
2024-03-28,301166,优宁维,ST,97,-1.67%,-6.84%,-0.93%,-1.96%,-1.73%,-1.73%
2024-04-15,002415,海康威视,ST,97,5.32%,6.64%,6.09%,8.46%,5.29%,5.29%
2024-04-16,002117,东港股份,Spring,99,5.60%,12.84%,8.89%,-2.25%,8.09%,8.09%
2024-04-19,600276,恒瑞医药,Spring,99,9.43%,11.37%,4.46%,-2.59%,3.66%,3.66%
2024-04-23,300009,安科生物,SC,97,10.13%,14.01%,5.71%,-5.02%,4.91%,4.91%
2024-04-25,600732,爱旭股份,Spring,94,5.96%,2.21%,-2.04%,-19.59%,-2.84%,-2.84%
2024-05-27,600276,恒瑞医药,ST,96,-0.47%,0.05%,-7.03%,-2.54%,-7.83%,-7.83%
2024-06-06,002117,东港股份,Spring,99,4.78%,4.93%,5.22%,4.03%,4.42%,4.42%
2024-07-02,600276,恒瑞医药,Spring,97,4.06%,9.83%,7.28%,16.93%,6.48%,6.48%
2024-07-05,000688,科创50,Spring,94,2.79%,7.24%,3.84%,-0.67%,3.04%,3.04%
2024-07-09,002117,东港股份,Spring,94,3.38%,1.17%,2.20%,-6.75%,1.40%,1.40%
2024-07-30,600276,恒瑞医药,ST,94,7.27%,6.68%,9.00%,16.15%,8.20%,8.20%
2024-07-31,000703,恒逸石化,Shakeout,98,-0.93%,-5.26%,-6.66%,-0.93%,-7.46%,-7.46%
2024-08-08,002594,比亚迪,Spring,94,2.23%,6.21%,11.66%,35.57%,10.86%,10.86%
2024-08-12,300750,宁德时代,Spring,94,3.91%,8.83%,9.56%,38.37%,8.76%,8.76%
2024-08-26,000703,恒逸石化,Spring,99,-0.67%,-4.17%,-2.50%,6.84%,-3.30%,-3.30%
2024-08-28,000568,泸州老窖,Spring,99,-0.22%,-6.21%,20.50%,20.89%,19.70%,19.70%
2024-08-29,399006,创业板指,Spring,94,1.51%,0.68%,41.11%,41.82%,40.31%,40.31%
2024-09-09,601899,紫金矿业,Spring,99,6.29%,19.58%,23.32%,13.07%,22.52%,22.52%
2024-09-11,600028,中国石化,Spring,97,3.66%,8.21%,6.75%,2.69%,5.95%,5.95%
2024-09-12,600900,长江电力,Spring,94,1.22%,7.86%,0.36%,-1.58%,-0.44%,-0.44%
2024-09-13,688981,中芯国际,Spring,99,5.59%,69.79%,126.51%,123.82%,125.71%,125.71%
2024-09-18,002415,海康威视,ST,98,7.08%,25.35%,22.96%,23.76%,22.16%,22.16%
2024-09-19,000858,五 粮 液,Spring,99,21.11%,37.04%,32.06%,34.81%,31.26%,31.26%
2024-09-20,002714,牧原股份,SC,97,20.12%,17.67%,19.96%,14.00%,19.16%,19.16%
2024-09-23,301166,优宁维,Spring,93,26.34%,18.36%,24.61%,21.09%,23.81%,23.81%
2024-09-24,000688,科创50,Spring,97,53.51%,34.75%,46.22%,42.66%,45.42%,45.42%
2024-10-31,601816,京沪高铁,Shakeout,91,5.34%,1.84%,5.52%,14.00%,4.72%,4.72%
2024-11-13,600900,长江电力,Spring,94,0.84%,0.00%,2.85%,5.11%,2.05%,2.05%
2024-11-25,601318,中国平安,Spring,95,2.74%,4.30%,1.01%,-5.08%,0.21%,0.21%
2024-11-27,000703,恒逸石化,ST,98,-0.16%,2.91%,-2.59%,-2.43%,-3.39%,-3.39%
2024-11-29,002594,比亚迪,Spring,99,1.98%,0.61%,4.17%,-0.12%,3.37%,3.37%
2024-12-16,688981,中芯国际,Spring,98,16.79%,21.83%,21.19%,25.08%,20.39%,20.39%
2024-12-25,002416,爱施德,Spring,94,25.83%,-0.74%,-5.81%,-1.40%,-6.61%,-6.61%
2025-01-06,000688,科创50,Spring,93,1.44%,3.15%,9.13%,17.26%,8.33%,8.33%
2025-01-07,300750,宁德时代,Spring,92,2.71%,5.91%,2.83%,2.51%,2.03%,2.03%
2025-01-08,600760,中航沈飞,Spring,94,5.42%,4.39%,5.10%,0.34%,4.30%,4.30%
2025-01-24,600436,片仔癀,SC,95,2.96%,3.05%,1.22%,0.62%,0.42%,0.42%
2025-02-06,600887,伊利股份,Spring,98,1.66%,2.88%,3.48%,4.58%,2.68%,2.68%
2025-02-25,600585,海螺水泥,Spring,92,3.16%,7.60%,8.00%,10.63%,7.20%,7.20%
2025-02-28,600893,航发动力,Spring,99,7.94%,9.94%,4.19%,-6.66%,3.39%,3.39%
2025-03-03,601816,京沪高铁,Spring,97,2.21%,3.14%,2.77%,7.93%,1.97%,1.97%
2025-03-11,300333,兆日科技,Spring,93,3.14%,-9.14%,-25.00%,-12.50%,-25.80%,-25.80%
2025-03-13,002821,凯莱英,ST,94,4.93%,5.10%,-14.84%,5.57%,-15.64%,-15.64%
2025-04-07,300750,宁德时代,Shakeout,100,4.08%,7.50%,15.91%,17.95%,15.11%,15.11%
2025-04-09,601899,紫金矿业,Shakeout,98,11.43%,11.75%,11.24%,14.76%,10.44%,10.44%
2025-05-06,000858,五 粮 液,ST,94,2.70%,-0.28%,-3.82%,-7.96%,-4.62%,-4.62%
2025-05-16,300347,泰格医药,SC,94,12.48%,17.09%,22.36%,38.23%,21.56%,21.56%
2025-05-29,600893,航发动力,Shakeout,95,0.66%,3.23%,4.11%,16.27%,3.31%,3.31%
2025-06-03,600104,上汽集团,Shakeout,100,2.16%,4.65%,4.59%,15.86%,3.79%,3.79%
2025-06-05,002648,卫星化学,Spring,93,1.14%,-3.49%,9.04%,17.59%,8.24%,8.24%
2025-06-16,000858,五 粮 液,Shakeout,97,0.01%,0.53%,6.04%,7.50%,5.24%,5.24%
2025-06-23,601816,京沪高铁,SC,97,1.05%,0.18%,0.33%,-4.16%,-0.47%,-0.47%
2025-07-04,000688,科创50,ST,94,0.98%,2.31%,5.28%,36.20%,4.48%,4.48%
2025-07-10,601899,紫金矿业,Shakeout,90,1.22%,6.79%,7.75%,26.70%,6.95%,6.95%
2025-07-16,000703,恒逸石化,Spring,93,6.02%,6.54%,2.93%,14.29%,2.13%,2.13%
2025-07-17,601816,京沪高铁,ST,94,2.17%,-2.17%,-1.81%,-3.80%,-2.61%,-2.61%
2025-08-04,300333,兆日科技,Spring,93,5.06%,8.35%,7.63%,-7.85%,6.83%,6.83%
2025-08-14,603903,中持股份,Spring,98,12.40%,26.34%,53.45%,81.84%,52.65%,52.65%
2025-08-15,000001,平安银行,Spring,100,-0.17%,-0.25%,-2.98%,-3.50%,-3.78%,-3.78%
2025-08-18,600036,招商银行,Spring,99,0.83%,-3.52%,-2.96%,-3.52%,-3.76%,-3.76%
2025-08-20,601816,京沪高铁,SC,97,0.57%,0.38%,0.38%,-0.19%,-0.42%,-0.42%
2025-08-28,300332,天壕能源,Spring,91,-1.14%,7.59%,6.64%,12.71%,5.84%,5.84%
2025-09-04,600406,国电南瑞,Spring,96,5.21%,4.65%,11.18%,18.84%,10.38%,10.38%
2025-09-11,300347,泰格医药,Spring,97,-2.89%,-0.85%,-12.50%,-5.42%,-13.30%,-13.30%
2025-09-22,600900,长江电力,ST,98,0.66%,3.21%,4.94%,3.36%,4.14%,4.14%
2025-09-23,301166,优宁维,Spring,99,2.51%,1.99%,3.31%,5.43%,2.51%,2.51%
2025-10-09,002714,牧原股份,Spring,95,-1.18%,-6.22%,-5.18%,-5.74%,-5.98%,-5.98%
2025-10-15,603259,药明康德,Spring,93,1.45%,6.62%,-7.15%,-6.75%,-7.95%,-7.95%
2025-10-27,600809,山西汾酒,Spring,96,4.46%,7.65%,4.08%,-3.62%,3.28%,3.28%
2025-10-31,000858,五 粮 液,Spring,97,-1.88%,1.03%,-0.96%,-5.59%,-1.76%,-1.76%
2025-11-21,600104,上汽集团,ST,100,1.84%,5.10%,6.87%,3.95%,6.07%,6.07%
2025-11-24,510300,沪深300ETF华泰柏瑞,Spring,97,1.89%,2.82%,4.45%,4.03%,3.65%,3.65%
2025-12-03,600436,片仔癀,ST,94,0.99%,-0.12%,-1.57%,-6.46%,-2.37%,-2.37%
