symbol,type,conf,strategy,buy_px,sell_px,ret,reason,bars,close
sh605399,Spring,94,paper_discipline_bull,26.902,25.001,-0.0781,条件单:stop_loss,20,2026-09-04 18:13:35
sh605499,Spring,100,paper_discipline_bull,72.604,86.278,0.1789,条件单:take_profit,20,2026-09-04 18:13:39
sh605378,Spring,100,paper_discipline_bull,9.587,11.024,0.1407,条件单:take_profit,19,2026-09-04 18:13:41
sh605398,Spring,100,paper_discipline_bull,12.05,13.89,0.1435,条件单:take_profit,11,2026-09-04 18:13:43
sh605305,ST,96,paper_discipline_bull,26.429,24.575,-0.0776,条件单:stop_loss,10,2026-09-04 18:13:44
sh605289,Spring,100,paper_discipline_bull,18.099,16.99,-0.0688,条件单:stop_loss,28,2026-09-04 18:13:44
sh605599,ST,100,paper_discipline_bull,7.721,8.874,0.1402,条件单:take_profit,30,2026-09-04 18:13:51
sh605399,Spring,93,screener_value_accumulation,26.119,31.198,0.1849,条件单:take_profit,14,2026-09-04 18:13:57
sh605333,Spring,100,paper_discipline_bull,24.028,21.807,-0.0997,条件单:stop_loss,6,2026-09-04 18:13:57
sh605369,ST,100,paper_discipline_bull,49.099,44.519,-0.1005,条件单:stop_loss,50,2026-09-04 18:13:58
sh605599,Spring,100,paper_discipline_bull,8.248,9.808,0.1797,条件单:take_profit,38,2026-09-04 18:14:02
sh605507,Spring,91,paper_discipline_bull,15.954,14.98,-0.0685,条件单:stop_loss,25,2026-09-04 18:14:02
sh605499,Spring,90,paper_discipline_bull,102.967,94.908,-0.0856,条件单:stop_loss,7,2026-09-04 18:14:06
sh605488,Spring,96,paper_discipline_bull,9.489,10.935,0.1432,条件单:take_profit,11,2026-09-04 18:14:06
sh605555,Spring,100,paper_discipline_bull,10.367,12.952,0.2394,条件单:take_profit,33,2026-09-04 18:14:20
sh605566,Spring,100,paper_discipline_bull,21.24,24.504,0.1445,条件单:take_profit,53,2026-09-04 18:14:30
sh605338,Spring,100,screener_value_accumulation,22.6,21.03,-0.0769,条件单:stop_loss,19,2026-09-04 18:14:35
sh605388,Spring,100,paper_discipline_bull,8.836,8.195,-0.0799,条件单:stop_loss,79,2026-09-04 18:14:52
sh605566,Spring,100,paper_discipline_bull,19.394,22.47,0.1494,条件单:take_profit,9,2026-09-04 18:15:01
sh605566,Spring,100,paper_discipline_bull,21.353,24.759,0.1503,条件单:take_profit,38,2026-09-04 18:15:15
sh605555,Spring,100,paper_discipline_bull,16.126,14.818,-0.0884,条件单:stop_loss,11,2026-09-04 18:15:20
sh605399,ST,100,paper_discipline_bull,15.09,18.225,0.1981,条件单:take_profit,1,2026-09-04 18:15:20
sh605399,ST,100,paper_discipline_bull,17.739,16.406,-0.0825,条件单:stop_loss,0,2026-09-04 18:15:21
sh605500,Spring,100,paper_discipline_bull,7.184,6.697,-0.0752,条件单:stop_loss,104,2026-09-04 18:15:21
sh605399,ST,100,paper_discipline_bull,16.548,15.384,-0.0777,条件单:stop_loss,2,2026-09-04 18:15:21
sh605318,Spring,100,paper_discipline_bull,13.294,15.544,0.1599,条件单:take_profit,1,2026-09-04 18:15:22
sh605318,Spring,100,paper_discipline_bull,14.468,16.843,0.1549,条件单:take_profit,5,2026-09-04 18:15:23
sh605377,Spring,95,paper_discipline_bull,9.364,10.872,0.1518,条件单:take_profit,24,2026-09-04 18:15:33
sh605499,Spring,100,paper_discipline_bull,94.37,108.454,0.1401,条件单:take_profit,42,2026-09-04 18:15:37
sh605507,ST,100,paper_discipline_bull,10.131,11.966,0.1717,条件单:take_profit,36,2026-09-04 18:15:48
sh605598,Spring,100,paper_discipline_bull,16.146,18.914,0.1621,条件单:take_profit,11,2026-09-04 18:15:49
sh605369,Spring,100,paper_discipline_bull,25.719,24.015,-0.0737,条件单:stop_loss,4,2026-09-04 18:15:51
sh605598,Spring,100,screener_value_accumulation,18.203,21.174,0.1539,条件单:take_profit,19,2026-09-04 18:15:52
sh605398,Spring,100,paper_discipline_bull,14.475,13.565,-0.0703,条件单:stop_loss,27,2026-09-04 18:16:03
sh605388,ST,94,paper_discipline_bull,5.066,4.749,-0.07,条件单:stop_loss,25,2026-09-04 18:16:20
sh605368,Spring,100,paper_discipline_bull,11.969,11.198,-0.0719,条件单:stop_loss,84,2026-09-04 18:16:33
sh605598,Spring,100,paper_discipline_bull,17.294,16.099,-0.0765,条件单:stop_loss,1,2026-09-04 18:16:35
sh605555,ST,100,paper_discipline_bull,11.304,13.336,0.1704,条件单:take_profit,22,2026-09-04 18:16:47
sh605598,Spring,100,paper_discipline_bull,16.728,20.464,0.2136,条件单:take_profit,8,2026-09-04 18:16:49
sh605598,ST,100,paper_discipline_bull,19.73,18.381,-0.0758,条件单:stop_loss,3,2026-09-04 18:16:53
sh605336,Spring,100,screener_value_accumulation,10.844,13.083,0.1969,条件单:take_profit,25,2026-09-04 18:17:00
sh605566,Spring,99,paper_discipline_bull,16.287,19.057,0.1608,条件单:take_profit,9,2026-09-04 18:17:02
sh605589,Spring,100,paper_discipline_bull,21.467,25.436,0.1754,条件单:take_profit,6,2026-09-04 18:17:06
sh605589,Spring,100,paper_discipline_bull,24.807,28.837,0.1532,条件单:take_profit,15,2026-09-04 18:17:08
sh605376,Spring,96,paper_discipline_bull,30.364,35.217,0.1506,条件单:take_profit,15,2026-09-04 18:17:08
sh605599,ST,100,paper_discipline_bull,9.832,11.299,0.14,条件单:take_profit,125,2026-09-04 18:17:11
sh605567,Spring,100,paper_discipline_bull,8.41,9.8,0.156,条件单:take_profit,9,2026-09-04 18:17:29
sh605599,Shakeout,100,paper_discipline_bull,11.605,13.497,0.1538,条件单:take_profit,17,2026-09-04 18:17:46
sh605507,Spring,80,screener_value_accumulation,13.506,16.432,0.207,条件单:take_profit,47,2026-09-04 18:17:58
sh605318,ST,100,paper_discipline_bull,27.027,31.459,0.1547,条件单:take_profit,15,2026-09-04 18:17:58
sh605388,Spring,91,paper_discipline_bull,7.528,9.021,0.1888,条件单:take_profit,22,2026-09-04 18:17:59
sh605358,Spring,100,paper_discipline_bull,25.264,29.925,0.1751,条件单:take_profit,12,2026-09-04 18:18:03
sh605500,Spring,95,paper_discipline_bull,9.644,9.051,-0.069,条件单:stop_loss,20,2026-09-04 18:18:05
sh605399,Spring,100,paper_discipline_bull,12.643,14.685,0.1523,条件单:take_profit,28,2026-09-04 18:18:15
sh605368,Spring,100,paper_discipline_bull,9.682,8.941,-0.0839,条件单:stop_loss,194,2026-09-04 18:18:17
sh605599,Shakeout,87,screener_value_accumulation,14.367,16.699,0.1531,条件单:take_profit,37,2026-09-04 18:18:29
sh605336,Spring,100,paper_discipline_bull,14.675,17.133,0.1582,条件单:take_profit,67,2026-09-04 18:18:31
sh605378,Spring,90,screener_value_accumulation,22.827,21.386,-0.0706,条件单:stop_loss,11,2026-09-04 18:18:33
sh605366,Spring,87,screener_value_accumulation,6.246,7.223,0.1472,条件单:take_profit,20,2026-09-04 18:18:34
sh605338,Shakeout,100,paper_discipline_bull,28.501,26.141,-0.0901,条件单:stop_loss,11,2026-09-04 18:18:38
sh605499,Spring,97,paper_discipline_bull,186.587,174.675,-0.0713,条件单:stop_loss,18,2026-09-04 18:18:39
sh605580,ST,100,paper_discipline_bull,23.859,22.378,-0.0695,条件单:stop_loss,9,2026-09-04 18:18:43
sh605577,Spring,95,paper_discipline_bull,12.608,11.709,-0.0787,条件单:stop_loss,12,2026-09-04 18:18:46
sh605378,Spring,95,paper_discipline_bull,20.745,18.922,-0.0951,条件单:stop_loss,4,2026-09-04 18:18:46
