symbol,type,conf,strategy,buy_px,sell_px,ret,reason,bars,close
sh605399,Spring,94,paper_discipline_bull,26.902,25.001,-0.0781,条件单:stop_loss,20,2026-09-04 18:09:06
sh605499,Spring,100,paper_discipline_bull,72.604,86.278,0.1789,条件单:take_profit,20,2026-09-04 18:09:07
sh605378,Spring,100,paper_discipline_bull,9.587,11.024,0.1407,条件单:take_profit,19,2026-09-04 18:09:07
sh605398,Spring,100,paper_discipline_bull,12.05,13.89,0.1435,条件单:take_profit,11,2026-09-04 18:09:07
sh605305,ST,96,paper_discipline_bull,26.429,24.575,-0.0776,条件单:stop_loss,10,2026-09-04 18:09:07
sh605289,Spring,100,paper_discipline_bull,18.099,20.753,0.1375,空头信号卖出,17,2026-09-04 18:09:08
sh605599,ST,100,paper_discipline_bull,7.721,8.231,0.0576,空头信号卖出,7,2026-09-04 18:09:08
sh605599,ST,100,paper_discipline_bull,8.189,8.181,-0.0089,空头信号卖出,1,2026-09-04 18:09:08
sh605599,ST,100,paper_discipline_bull,8.181,8.165,-0.0099,空头信号卖出,1,2026-09-04 18:09:08
sh605298,Spring,100,paper_discipline_bull,9.833,11.279,0.1379,空头信号卖出,45,2026-09-04 18:09:10
sh605369,ST,100,paper_discipline_bull,49.099,44.519,-0.1005,条件单:stop_loss,50,2026-09-04 18:09:10
sh605507,Spring,91,paper_discipline_bull,16.277,15.18,-0.0748,条件单:stop_loss,9,2026-09-04 18:09:11
sh605577,Spring,100,paper_discipline_bull,9.861,10.93,0.0996,空头信号卖出,9,2026-09-04 18:09:11
sh605577,Spring,100,paper_discipline_bull,10.54,10.682,0.0054,空头信号卖出,1,2026-09-04 18:09:11
sh605577,Spring,100,paper_discipline_bull,10.473,10.491,-0.0063,空头信号卖出,1,2026-09-04 18:09:11
sh605507,Spring,100,paper_discipline_bull,15.598,14.445,-0.0813,条件单:stop_loss,24,2026-09-04 18:09:12
sh605319,Spring,93,paper_discipline_bull,10.048,11.307,0.1163,空头信号卖出,69,2026-09-04 18:09:17
sh605566,Spring,100,paper_discipline_bull,20.561,23.973,0.1567,条件单:take_profit,52,2026-09-04 18:09:17
sh605338,Spring,100,paper_discipline_bull,22.245,23.609,0.0529,空头信号卖出,17,2026-09-04 18:09:18
sh605388,Spring,95,screener_value_accumulation,8.99,9.441,0.0418,空头信号卖出,15,2026-09-04 18:09:18
sh605488,Spring,99,paper_discipline_bull,10.199,10.039,-0.0235,空头信号卖出,1,2026-09-04 18:09:19
sh605488,Spring,99,paper_discipline_bull,10.074,10.116,-0.0038,空头信号卖出,1,2026-09-04 18:09:19
sh605488,Spring,99,paper_discipline_bull,10.067,10.416,0.0264,空头信号卖出,1,2026-09-04 18:09:19
sh605488,Spring,99,paper_discipline_bull,10.171,10.66,0.0397,空头信号卖出,1,2026-09-04 18:09:19
sh605399,Spring,95,paper_discipline_bull,16.607,15.541,-0.0716,条件单:stop_loss,4,2026-09-04 18:09:19
sh605488,Spring,99,paper_discipline_bull,10.43,10.541,0.0026,空头信号卖出,1,2026-09-04 18:09:19
sh605488,Spring,99,paper_discipline_bull,10.681,10.311,-0.0423,空头信号卖出,1,2026-09-04 18:09:19
sh605500,Spring,100,paper_discipline_bull,7.061,7.33,0.0298,空头信号卖出,17,2026-09-04 18:09:23
sh605389,Spring,100,paper_discipline_bull,19.918,19.19,-0.0442,空头信号卖出,9,2026-09-04 18:09:25
sh605388,Shakeout,100,screener_value_accumulation,9.201,9.077,-0.0213,空头信号卖出,1,2026-09-04 18:09:25
sh605388,Shakeout,100,screener_value_accumulation,9.088,8.447,-0.0779,条件单:stop_loss,13,2026-09-04 18:09:26
sh605376,ST,100,paper_discipline_bull,29.192,27.381,-0.0695,条件单:stop_loss,1,2026-09-04 18:09:26
sh605566,Spring,100,paper_discipline_bull,19.394,22.47,0.1494,条件单:take_profit,9,2026-09-04 18:09:29
sh605566,Spring,100,paper_discipline_bull,21.353,24.759,0.1503,条件单:take_profit,38,2026-09-04 18:09:34
