symbol,type,conf,strategy,buy_px,sell_px,ret,reason,bars,close
sh605369,Spring,100,paper_discipline_bull,48.737,60.603,0.2336,条件单:take_profit,9,2026-09-04 18:41:50
sh605499,Spring,100,paper_discipline_bull,72.604,86.278,0.1789,条件单:take_profit,20,2026-09-04 18:41:54
sh605378,Spring,100,screener_value_accumulation,10.352,9.961,-0.0454,条件单:stop_loss,2,2026-09-04 18:41:55
sh605289,Spring,100,paper_discipline_bull,12.455,14.986,0.1936,条件单:take_profit,2,2026-09-04 18:41:56
sh605398,Spring,100,paper_discipline_bull,11.214,12.92,0.143,条件单:take_profit,13,2026-09-04 18:41:57
sh605289,Spring,100,paper_discipline_bull,16.515,19.948,0.1982,条件单:take_profit,1,2026-09-04 18:41:59
sh605289,Spring,100,paper_discipline_bull,18.099,17.463,-0.0428,条件单:stop_loss,26,2026-09-04 18:42:07
sh605378,Spring,100,screener_value_accumulation,10.788,10.416,-0.0422,条件单:stop_loss,32,2026-09-04 18:42:07
sh605298,Spring,100,paper_discipline_bull,9.833,9.494,-0.0422,条件单:stop_loss,3,2026-09-04 18:42:08
sh605298,Spring,100,paper_discipline_bull,9.617,11.279,0.1635,条件单:take_profit,40,2026-09-04 18:42:27
sh605369,ST,100,paper_discipline_bull,49.099,47.43,-0.0417,条件单:stop_loss,47,2026-09-04 18:42:27
sh605577,Spring,100,paper_discipline_bull,9.861,11.37,0.1438,条件单:take_profit,20,2026-09-04 18:42:29
sh605507,Spring,100,paper_discipline_bull,15.598,15.109,-0.0391,条件单:stop_loss,19,2026-09-04 18:42:30
sh605488,ST,100,paper_discipline_bull,9.489,10.935,0.1432,条件单:take_profit,11,2026-09-04 18:42:34
sh605566,Spring,100,paper_discipline_bull,21.24,24.504,0.1445,条件单:take_profit,53,2026-09-04 18:43:09
sh605338,Spring,100,screener_value_accumulation,22.6,21.863,-0.0403,条件单:stop_loss,13,2026-09-04 18:43:12
sh605500,Spring,100,paper_discipline_bull,6.617,7.604,0.14,条件单:take_profit,125,2026-09-04 18:43:46
sh605598,ST,100,paper_discipline_bull,26.513,25.418,-0.0489,条件单:stop_loss,0,2026-09-04 18:43:49
sh605368,Spring,100,paper_discipline_bull,7.794,9.226,0.1743,条件单:take_profit,71,2026-09-04 18:44:08
sh605337,ST,97,screener_value_accumulation,13.991,13.318,-0.0557,条件单:stop_loss,4,2026-09-04 18:44:10
sh605318,Spring,100,paper_discipline_bull,16.624,15.835,-0.0551,条件单:stop_loss,2,2026-09-04 18:44:11
sh605488,ST,100,paper_discipline_bull,10.611,12.812,0.1978,条件单:take_profit,0,2026-09-04 18:44:12
sh605488,ST,100,paper_discipline_bull,12.705,11.642,-0.091,条件单:stop_loss,5,2026-09-04 18:44:14
sh605598,ST,100,paper_discipline_bull,25.981,24.78,-0.0538,条件单:stop_loss,37,2026-09-04 18:44:15
sh605555,Spring,100,paper_discipline_bull,16.659,15.722,-0.0638,条件单:stop_loss,1,2026-09-04 18:44:15
sh605555,Spring,100,paper_discipline_bull,16.418,15.729,-0.0496,条件单:stop_loss,4,2026-09-04 18:44:17
sh605555,Spring,100,paper_discipline_bull,16.089,15.416,-0.0495,条件单:stop_loss,1,2026-09-04 18:44:20
sh605555,Spring,100,paper_discipline_bull,15.688,14.818,-0.063,条件单:stop_loss,7,2026-09-04 18:44:24
sh605399,ST,100,paper_discipline_bull,15.09,18.225,0.1981,条件单:take_profit,1,2026-09-04 18:44:25
sh605336,ST,100,paper_discipline_bull,13.399,12.33,-0.0871,条件单:stop_loss,17,2026-09-04 18:44:26
