symbol,type,conf,strategy,buy_px,sell_px,ret,reason,bars,close
sh605369,Spring,100,paper_discipline_bull,48.737,60.603,0.2336,条件单:take_profit,9,2026-09-04 18:33:34
sh605499,Spring,100,paper_discipline_bull,72.604,86.278,0.1789,条件单:take_profit,20,2026-09-04 18:33:37
sh605378,Spring,100,screener_value_accumulation,10.352,9.961,-0.0454,条件单:stop_loss,2,2026-09-04 18:33:38
sh605289,Spring,100,paper_discipline_bull,12.455,14.986,0.1936,条件单:take_profit,2,2026-09-04 18:33:39
sh605398,Spring,100,paper_discipline_bull,11.214,12.92,0.143,条件单:take_profit,13,2026-09-04 18:33:40
sh605289,Spring,100,paper_discipline_bull,16.515,19.948,0.1982,条件单:take_profit,1,2026-09-04 18:33:41
sh605378,Spring,100,screener_value_accumulation,10.788,11.844,0.0891,空头信号卖出,20,2026-09-04 18:33:47
sh605289,Spring,100,paper_discipline_bull,18.099,20.753,0.1375,空头信号卖出,17,2026-09-04 18:33:47
sh605599,ST,100,paper_discipline_bull,7.872,8.231,0.0373,空头信号卖出,4,2026-09-04 18:33:47
sh605599,ST,100,paper_discipline_bull,8.189,8.181,-0.0089,空头信号卖出,1,2026-09-04 18:33:47
sh605599,ST,100,paper_discipline_bull,8.181,8.165,-0.0099,空头信号卖出,1,2026-09-04 18:33:47
sh605298,Spring,100,paper_discipline_bull,9.833,9.494,-0.0422,条件单:stop_loss,3,2026-09-04 18:33:48
sh605298,Spring,100,paper_discipline_bull,9.617,11.279,0.1635,条件单:take_profit,40,2026-09-04 18:34:03
sh605369,ST,100,paper_discipline_bull,49.099,47.43,-0.0417,条件单:stop_loss,47,2026-09-04 18:34:03
sh605577,Spring,100,paper_discipline_bull,9.861,10.93,0.0996,空头信号卖出,9,2026-09-04 18:34:04
sh605577,Spring,100,paper_discipline_bull,10.54,10.682,0.0054,空头信号卖出,1,2026-09-04 18:34:04
sh605577,Spring,100,paper_discipline_bull,10.473,10.491,-0.0063,空头信号卖出,1,2026-09-04 18:34:05
sh605507,Spring,100,paper_discipline_bull,15.598,15.109,-0.0391,条件单:stop_loss,19,2026-09-04 18:34:06
sh605488,ST,100,paper_discipline_bull,9.131,9.849,0.07,空头信号卖出,7,2026-09-04 18:34:06
sh605488,ST,100,paper_discipline_bull,10.116,9.601,-0.0585,条件单:stop_loss,0,2026-09-04 18:34:06
sh605488,ST,100,paper_discipline_bull,9.93,9.58,-0.0429,条件单:stop_loss,0,2026-09-04 18:34:07
sh605488,ST,100,paper_discipline_bull,9.696,10.282,0.052,空头信号卖出,1,2026-09-04 18:34:07
sh605488,ST,100,paper_discipline_bull,9.648,10.22,0.0508,空头信号卖出,1,2026-09-04 18:34:07
sh605566,Spring,100,paper_discipline_bull,20.561,23.973,0.1567,条件单:take_profit,52,2026-09-04 18:34:36
sh605500,Spring,100,paper_discipline_bull,6.617,7.301,0.0946,空头信号卖出,65,2026-09-04 18:34:39
sh605338,Spring,100,paper_discipline_bull,22.68,23.609,0.0327,空头信号卖出,15,2026-09-04 18:34:40
sh605500,Spring,100,paper_discipline_bull,7.061,6.763,-0.0498,条件单:stop_loss,8,2026-09-04 18:34:42
sh605500,Spring,100,paper_discipline_bull,6.852,7.33,0.0612,空头信号卖出,8,2026-09-04 18:34:50
sh605368,Spring,100,paper_discipline_bull,7.794,8.61,0.0959,空头信号卖出,20,2026-09-04 18:34:53
sh605389,Spring,100,paper_discipline_bull,19.918,19.024,-0.0525,条件单:stop_loss,5,2026-09-04 18:34:53
sh605339,Spring,100,screener_value_accumulation,18.581,17.878,-0.0455,条件单:stop_loss,12,2026-09-04 18:34:55
