symbol,type,conf,strategy,buy_px,sell_px,ret,reason,bars,close
sh605488,Spring,92,paper_discipline_bull,9.131,10.509,0.1417,条件单:take_profit,11,2026-09-04 09:20:48
sh605499,Spring,90,paper_discipline_bull,102.222,94.908,-0.0789,条件单:stop_loss,14,2026-09-04 09:20:48
sh605566,Spring,100,paper_discipline_bull,19.235,22.227,0.1463,条件单:take_profit,16,2026-09-04 09:20:49
sh605298,Spring,97,screener_value_accumulation,10.601,13.348,0.2491,条件单:take_profit,9,2026-09-04 09:20:49
sh605555,Spring,100,paper_discipline_bull,10.367,12.952,0.2394,条件单:take_profit,33,2026-09-04 09:20:49
sh605376,Spring,100,paper_discipline_bull,30.769,35.521,0.1452,条件单:take_profit,14,2026-09-04 09:20:50
sh605338,Spring,100,paper_discipline_bull,22.68,21.296,-0.0685,条件单:stop_loss,23,2026-09-04 09:20:51
sh605499,Spring,100,paper_discipline_bull,92.429,108.51,0.1646,条件单:take_profit,57,2026-09-04 09:20:52
sh605389,Spring,100,paper_discipline_bull,18.786,17.237,-0.0898,条件单:stop_loss,31,2026-09-04 09:20:54
sh605566,Spring,100,paper_discipline_bull,19.394,22.47,0.1494,条件单:take_profit,9,2026-09-04 09:20:55
sh605566,Spring,100,paper_discipline_bull,21.353,24.759,0.1503,条件单:take_profit,38,2026-09-04 09:20:58
sh605555,Spring,100,paper_discipline_bull,16.126,14.818,-0.0884,条件单:stop_loss,11,2026-09-04 09:21:00
sh605399,ST,100,paper_discipline_bull,15.09,18.225,0.1981,条件单:take_profit,1,2026-09-04 09:21:00
sh605399,ST,100,paper_discipline_bull,17.739,16.406,-0.0825,条件单:stop_loss,0,2026-09-04 09:21:00
sh605399,ST,100,paper_discipline_bull,16.548,15.384,-0.0777,条件单:stop_loss,2,2026-09-04 09:21:00
sh605500,Spring,100,paper_discipline_bull,7.079,6.234,-0.1264,条件单:stop_loss,111,2026-09-04 09:21:01
sh605318,Spring,100,paper_discipline_bull,14.468,16.843,0.1549,条件单:take_profit,5,2026-09-04 09:21:01
sh605318,Spring,100,paper_discipline_bull,15.537,14.391,-0.0811,条件单:stop_loss,13,2026-09-04 09:21:03
sh605499,Spring,100,paper_discipline_bull,92.343,106.409,0.1431,条件单:take_profit,27,2026-09-04 09:21:05
sh605368,Spring,100,paper_discipline_bull,9.928,11.422,0.1413,条件单:take_profit,15,2026-09-04 09:21:05
sh605376,Spring,95,paper_discipline_bull,18.06,22.483,0.235,条件单:take_profit,7,2026-09-04 09:21:06
sh605376,Spring,95,paper_discipline_bull,22.528,20.438,-0.1,条件单:stop_loss,2,2026-09-04 09:21:06
sh605598,Spring,100,paper_discipline_bull,16.146,18.914,0.1621,条件单:take_profit,11,2026-09-04 09:21:07
sh605507,ST,100,paper_discipline_bull,10.47,12.112,0.1476,条件单:take_profit,34,2026-09-04 09:21:09
sh605598,Spring,100,screener_value_accumulation,18.203,21.174,0.1539,条件单:take_profit,19,2026-09-04 09:21:10
sh605398,Spring,100,paper_discipline_bull,14.475,13.565,-0.0703,条件单:stop_loss,27,2026-09-04 09:21:14
sh605388,ST,94,paper_discipline_bull,5.066,4.749,-0.07,条件单:stop_loss,25,2026-09-04 09:21:23
sh605368,Spring,100,paper_discipline_bull,11.969,11.198,-0.0719,条件单:stop_loss,84,2026-09-04 09:21:25
sh605598,Spring,100,paper_discipline_bull,17.294,16.099,-0.0765,条件单:stop_loss,1,2026-09-04 09:21:26
sh605555,ST,100,paper_discipline_bull,11.304,13.336,0.1704,条件单:take_profit,22,2026-09-04 09:21:28
