stop_loss,take_profit,trail_back,hold_bars,n,win_rate,avg_ret,pl_ratio,profit_factor,max_drawdown,sharpe,total_return,cagr,qlib_veto_hits
0.04,0.3,0.06,20,119,0.4622,0.0326,2.427,2.086,-0.7376,0.644,2.2494,0.43347787187710307,0
0.08,0.1,0.08,20,109,0.578,0.0343,1.48,2.027,-0.7041,0.647,2.1287,0.41702217351640614,0
0.08,0.2,0.08,20,104,0.5673,0.0355,1.519,1.991,-0.6725,0.643,2.0175,0.40147377988682287,0
0.03,0.3,0.06,20,135,0.4222,0.0267,2.566,1.875,-0.6906,0.64,1.902,0.38490467718230326,0
0.04,0.3,0.08,20,120,0.45,0.0297,2.364,1.934,-0.6937,0.639,1.8956,0.3839601870523406,0
0.03,0.3,0.08,20,134,0.4104,0.0261,2.627,1.829,-0.6786,0.635,1.7792,0.36675751773880205,0
0.08,0.3,0.08,20,99,0.5657,0.0358,1.525,1.986,-0.6524,0.63,1.7792,0.3667597772936746,0
0.05,0.1,0.08,20,121,0.4876,0.0276,1.904,1.812,-0.6686,0.631,1.7104,0.3563516916917242,0
0.08,0.2,0.1,20,99,0.5657,0.0335,1.493,1.944,-0.6391,0.63,1.7094,0.35620250837500333,0
0.08,0.15,0.08,20,107,0.5607,0.0309,1.446,1.846,-0.6436,0.63,1.6921,0.35356364383949646,0
0.04,0.15,0.06,20,131,0.4427,0.0252,2.295,1.823,-0.6702,0.628,1.6634,0.3491466948181674,0
0.06,0.3,0.08,20,105,0.5238,0.0315,1.754,1.929,-0.6885,0.626,1.6497,0.3470177692948724,0
0.04,0.15,0.08,20,127,0.4409,0.0258,2.288,1.805,-0.6662,0.626,1.6319,0.3442522037041762,0
0.06,0.2,0.08,20,107,0.514,0.0298,1.763,1.865,-0.6938,0.621,1.6271,0.3435126217261264,0
0.04,0.2,0.06,20,129,0.4341,0.0251,2.369,1.817,-0.6643,0.626,1.6164,0.3418429750813925,0
0.06,0.1,0.08,20,116,0.5259,0.0279,1.655,1.836,-0.6738,0.625,1.6128,0.34127865641651445,0
0.03,0.2,0.08,20,139,0.4101,0.0224,2.48,1.724,-0.6805,0.619,1.5617,0.33322713426991335,0
0.08,0.15,0.1,20,100,0.56,0.031,1.482,1.886,-0.6286,0.621,1.5563,0.33235911465491075,0
0.06,0.15,0.08,20,109,0.5138,0.0285,1.729,1.827,-0.6839,0.616,1.5446,0.3305024750643777,0
0.06,0.2,0.1,20,103,0.534,0.0291,1.633,1.872,-0.68,0.613,1.515,0.3257599766877721,0
0.06,0.15,0.1,20,104,0.5288,0.0287,1.664,1.867,-0.6791,0.613,1.508,0.3246352746909482,0
0.03,0.2,0.06,20,142,0.4225,0.0214,2.327,1.703,-0.6779,0.614,1.4902,0.32176440425059116,0
0.08,0.1,0.12,20,100,0.53,0.0319,1.608,1.813,-0.615,0.614,1.487,0.3212420665798097,0
0.04,0.2,0.08,20,127,0.4331,0.0243,2.302,1.759,-0.6466,0.617,1.4859,0.321073381337579,0
0.04,0.1,0.08,20,133,0.4511,0.0228,2.097,1.723,-0.6676,0.617,1.4776,0.3197162394081241,0
0.05,0.2,0.08,20,116,0.4655,0.0257,2.011,1.751,-0.653,0.606,1.4217,0.3105767228427734,0
0.05,0.3,0.08,20,111,0.4775,0.0271,1.958,1.789,-0.6586,0.611,1.4057,0.30793179703574336,0
0.06,0.3,0.06,20,108,0.5093,0.0271,1.712,1.777,-0.6647,0.605,1.3987,0.3067731444333788,0
0.05,0.15,0.08,20,118,0.4661,0.0249,1.982,1.73,-0.6472,0.603,1.3822,0.3040120835479998,0
0.06,0.3,0.1,20,101,0.5248,0.028,1.667,1.841,-0.662,0.603,1.3812,0.3038503325653086,0
0.04,0.2,0.12,20,113,0.4779,0.0241,2.015,1.844,-0.6322,0.602,1.3637,0.30091447566969154,0
0.06,0.1,0.12,20,107,0.486,0.0276,1.901,1.797,-0.653,0.607,1.3621,0.3006512786738067,0
0.05,0.3,0.06,20,112,0.4821,0.0272,1.923,1.79,-0.6633,0.6,1.3487,0.29840380295887825,0
0.08,0.3,0.06,20,102,0.5392,0.0284,1.531,1.791,-0.5771,0.605,1.3371,0.29644143522761857,0
0.08,0.2,0.06,20,102,0.549,0.0269,1.46,1.777,-0.5714,0.601,1.3061,0.29116903066765953,0
0.08,0.15,0.12,20,99,0.5556,0.0291,1.414,1.768,-0.584,0.598,1.3015,0.2903901985048789,0
0.08,0.1,0.1,20,103,0.5437,0.0269,1.481,1.764,-0.5914,0.602,1.3008,0.29026610527218355,0
0.05,0.2,0.06,20,119,0.4622,0.0249,2.028,1.743,-0.6355,0.596,1.2969,0.28960680627566737,0
0.08,0.2,0.12,20,98,0.551,0.0292,1.445,1.774,-0.5817,0.597,1.2892,0.28827555352314116,0
0.05,0.15,0.06,20,121,0.4628,0.0243,2.005,1.727,-0.6321,0.594,1.2755,0.28592578939280444,0
0.06,0.2,0.06,20,111,0.4955,0.0245,1.733,1.702,-0.6427,0.592,1.2513,0.2817329176470864,0
0.08,0.3,0.1,20,97,0.5464,0.0284,1.442,1.737,-0.5652,0.597,1.2489,0.28132287799910327,0
0.08,0.1,0.06,20,113,0.5487,0.0246,1.388,1.688,-0.5764,0.597,1.2426,0.2802213152559987,0
0.03,0.15,0.08,20,151,0.3974,0.0184,2.399,1.582,-0.6116,0.596,1.2285,0.27776337557010833,0
0.06,0.1,0.1,20,111,0.5135,0.0237,1.621,1.711,-0.6349,0.591,1.1927,0.27148338667268535,0
0.06,0.15,0.06,20,114,0.4912,0.0226,1.699,1.641,-0.6239,0.58,1.1388,0.26186180646577695,0
0.03,0.1,0.08,20,148,0.4054,0.0176,2.304,1.571,-0.5749,0.585,1.1353,0.2612356745487545,0
0.03,0.2,0.12,20,130,0.4231,0.0191,2.203,1.616,-0.5676,0.578,1.0772,0.25066585853767265,0
0.03,0.3,0.1,20,126,0.4048,0.0185,2.321,1.578,-0.5678,0.569,1.0444,0.2446145065947718,0
0.08,0.3,0.12,20,97,0.5258,0.0257,1.485,1.646,-0.5156,0.575,1.0433,0.24442161826795705,0
0.06,0.2,0.12,20,103,0.5049,0.0231,1.625,1.657,-0.6058,0.568,1.0423,0.24423589267572687,0
0.06,0.15,0.12,20,104,0.5,0.0226,1.646,1.646,-0.6025,0.565,1.025,0.24099513581640664,0
0.04,0.15,0.1,20,123,0.4553,0.0189,1.923,1.607,-0.559,0.567,1.0028,0.23683356067317907,0
0.05,0.1,0.1,20,120,0.4833,0.0195,1.688,1.579,-0.5686,0.567,0.999,0.2361267975195145,0
0.04,0.3,0.12,20,114,0.4386,0.0201,2.106,1.645,-0.5458,0.566,0.9987,0.23605860374177645,0
0.05,0.1,0.06,20,131,0.4504,0.0183,1.846,1.513,-0.5658,0.564,0.9824,0.2329928597330051,0
0.03,0.15,0.06,20,153,0.3922,0.0159,2.292,1.479,-0.5614,0.562,0.968,0.23025518646493426,0
0.04,0.1,0.06,20,140,0.4286,0.0167,2.017,1.512,-0.5744,0.559,0.9513,0.22705059046051734,0
