stop_loss,take_profit,hold_bars,n,win_rate,avg_ret,pl_ratio,profit_factor,max_drawdown,sharpe,total_return,cagr
0.03,0.15,5,246,0.4959,0.0193,2.331,2.293,-0.0235,1.676,1.7355,0.362242470447234
0.03,0.15,20,143,0.3986,0.0306,3.526,2.337,-0.0241,1.631,1.5867,0.33902926987498194
0.04,0.15,20,133,0.4511,0.0345,2.822,2.32,-0.0296,1.587,1.5553,0.3340147524123174
0.03,0.15,30,135,0.3852,0.0328,3.83,2.399,-0.0241,1.623,1.5055,0.32597585386157735
0.03,0.15,10,171,0.4854,0.0264,2.664,2.512,-0.0241,1.622,1.4916,0.3237092889391253
0.03,0.15,40,130,0.3769,0.0332,3.959,2.395,-0.0241,1.591,1.4797,0.3217772503974232
0.04,0.15,30,129,0.4264,0.0339,3.012,2.238,-0.0296,1.57,1.4323,0.3139494236853182
0.04,0.15,10,166,0.512,0.0265,2.218,2.328,-0.0296,1.538,1.4057,0.3095246360687738
0.04,0.15,5,236,0.4873,0.018,2.198,2.089,-0.0256,1.441,1.3909,0.30705155967139586
0.04,0.15,40,124,0.4032,0.0342,3.269,2.209,-0.0296,1.485,1.3522,0.30050319654549384
