symbol,type,conf,strategy,buy_px,sell_px,ret,reason,bars,close
sh605555,Spring,100,paper_discipline_bull,16.688,15.729,-0.065,条件单:stop_loss,0,2026-09-05 21:34:28
sh605555,Spring,100,paper_discipline_bull,16.089,15.255,-0.0594,条件单:stop_loss,2,2026-09-05 21:34:29
sh605336,ST,100,paper_discipline_bull,13.922,13.177,-0.0611,条件单:stop_loss,12,2026-09-05 21:34:35
sh605555,Spring,100,paper_discipline_bull,15.52,14.636,-0.0645,条件单:stop_loss,8,2026-09-05 21:34:35
sh605399,ST,100,paper_discipline_bull,17.739,16.406,-0.0825,条件单:stop_loss,0,2026-09-05 21:34:36
sh603963,Spring,100,screener_value_accumulation,11.051,10.21,-0.0835,条件单:stop_loss,0,2026-09-05 21:34:36
sh605399,ST,100,paper_discipline_bull,16.548,16.809,0.0077,空头信号卖出,1,2026-09-05 21:34:36
sh605399,ST,100,paper_discipline_bull,14.794,15.876,0.0646,空头信号卖出,1,2026-09-05 21:34:37
sh605399,ST,100,paper_discipline_bull,16.36,15.384,-0.0672,条件单:stop_loss,0,2026-09-05 21:34:38
sh603888,Spring,100,paper_discipline_bull,14.568,13.448,-0.0842,条件单:stop_loss,8,2026-09-05 21:34:39
sh605318,Spring,100,paper_discipline_bull,14.468,16.843,0.1549,条件单:take_profit,5,2026-09-05 21:34:39
sh605318,Spring,100,paper_discipline_bull,15.537,14.391,-0.0811,条件单:stop_loss,13,2026-09-05 21:34:44
sh605499,Spring,100,paper_discipline_bull,94.37,106.409,0.1186,空头信号卖出,26,2026-09-05 21:34:53
sh605368,Spring,100,paper_discipline_bull,9.928,11.422,0.1413,条件单:take_profit,15,2026-09-05 21:34:53
sh605507,ST,100,paper_discipline_bull,10.47,9.846,-0.0671,条件单:stop_loss,5,2026-09-05 21:34:53
sh603969,ST,100,paper_discipline_bull,5.103,6.106,0.187,条件单:take_profit,5,2026-09-05 21:34:55
sh603969,ST,100,paper_discipline_bull,5.722,5.98,0.0368,空头信号卖出,1,2026-09-05 21:34:55
sh603969,ST,100,paper_discipline_bull,6.118,5.971,-0.0318,空头信号卖出,1,2026-09-05 21:34:55
sh603969,ST,100,paper_discipline_bull,5.982,5.922,-0.0179,空头信号卖出,1,2026-09-05 21:34:55
sh605009,Spring,100,paper_discipline_bull,24.949,28.911,0.1496,条件单:take_profit,5,2026-09-05 21:34:57
sh605016,Spring,100,paper_discipline_bull,14.156,16.543,0.1593,条件单:take_profit,21,2026-09-05 21:35:00
sh605598,Spring,100,paper_discipline_bull,16.461,18.914,0.1399,条件单:take_profit,7,2026-09-05 21:35:01
sh605369,Spring,100,paper_discipline_bull,24.739,25.922,0.0395,空头信号卖出,2,2026-09-05 21:35:02
sh605369,Spring,100,paper_discipline_bull,25.621,25.976,0.0058,空头信号卖出,1,2026-09-05 21:35:03
