symbol,type,conf,buy_px,sell_px,ret,reason,bars,close
sh600719,Shakeout,96,7.608,8.741,0.1489,止盈,3,2026-08-30 09:16:13
sh600719,Shakeout,96,8.218,7.799,-0.051,止损,8,2026-08-30 09:16:13
sh688065,Shakeout,85,51.686,49.053,-0.0509,止损,20,2026-08-30 09:16:13
sh601008,Spring,84,3.97,3.875,-0.0239,到期,20,2026-08-30 09:16:13
sz002873,Spring,97,12.232,11.609,-0.0509,止损,7,2026-08-30 09:16:13
sz002481,Spring,84,4.395,4.171,-0.051,止损,1,2026-08-30 09:16:13
sh601519,Spring,97,7.067,8.132,0.1507,止盈,8,2026-08-30 09:16:13
sz001210,Spring,97,9.031,8.571,-0.0509,止损,18,2026-08-30 09:16:13
sz002481,Spring,84,4.238,4.022,-0.051,止损,2,2026-08-30 09:16:13
sz002481,Spring,84,4.169,3.957,-0.0509,止损,1,2026-08-30 09:16:13
sh600278,Spring,97,5.907,7.002,0.1854,止盈,2,2026-08-30 09:16:13
sh603682,Spring,97,4.579,5.298,0.157,止盈,2,2026-08-30 09:16:13
sh600278,Spring,97,6.656,6.317,-0.0509,止损,4,2026-08-30 09:16:13
sh603682,Spring,97,4.805,4.56,-0.051,止损,4,2026-08-30 09:16:13
sh600278,Spring,97,6.732,6.389,-0.051,止损,1,2026-08-30 09:16:13
sh603682,Spring,97,4.875,4.627,-0.0509,止损,1,2026-08-30 09:16:13
sh601519,Spring,97,7.838,7.439,-0.0509,止损,10,2026-08-30 09:16:13
sh600278,Spring,97,6.258,5.939,-0.051,止损,1,2026-08-30 09:16:13
sh600278,Spring,97,6.106,5.795,-0.0509,止损,1,2026-08-30 09:16:13
sh603682,Spring,97,4.492,4.263,-0.051,止损,3,2026-08-30 09:16:13
sh600278,Spring,97,4.94,5.734,0.1607,止盈,7,2026-08-30 09:16:13
sh601997,ST,88,4.467,4.672,0.0459,到期,20,2026-08-30 09:16:13
sh600125,Spring,97,4.914,5.324,0.0834,到期,20,2026-08-30 09:16:13
sh600278,Spring,97,5.651,5.876,0.0398,到期,20,2026-08-30 09:16:13
sz000516,ST,83,6.486,6.156,-0.0509,止损,11,2026-08-30 09:16:13
sz300204,ST,84,6.867,6.517,-0.051,止损,18,2026-08-30 09:16:13
sz301166,ST,89,28.428,26.98,-0.0509,止损,10,2026-08-30 09:16:13
sz000672,Spring,87,6.118,6.25,0.0216,到期,20,2026-08-30 09:16:13
sh688065,Spring,90,39.1,47.981,0.2271,止盈,10,2026-08-30 09:16:13
sh600719,Spring,97,6.967,7.592,0.0897,到期,20,2026-08-30 09:16:13
sh603268,Spring,91,14.855,14.098,-0.051,止损,10,2026-08-30 09:16:13
sh600278,Spring,97,5.623,5.555,-0.0121,到期,20,2026-08-30 09:16:13
sh600429,Spring,97,4.228,4.151,-0.0182,到期,20,2026-08-30 09:16:13
sh603268,Spring,97,12.412,11.78,-0.0509,止损,1,2026-08-30 09:16:13
sh603268,Spring,97,11.341,14.036,0.2376,止盈,6,2026-08-30 09:16:13
sh603268,Spring,97,12.913,14.935,0.1566,止盈,2,2026-08-30 09:16:13
sh600850,Spring,97,14.871,14.113,-0.051,止损,12,2026-08-30 09:16:13
sh603268,Spring,97,13.604,12.911,-0.0509,止损,9,2026-08-30 09:16:13
sz002609,Spring,97,7.538,7.154,-0.0509,止损,20,2026-08-30 09:16:13
sz300459,ST,94,3.443,3.268,-0.0508,止损,3,2026-08-30 09:16:13
sh600278,Spring,94,4.902,5.1,0.0404,到期,20,2026-08-30 09:16:13
sz300921,Shakeout,88,8.313,8.779,0.0561,到期,20,2026-08-30 09:16:13
sz300459,ST,94,3.403,3.457,0.0159,到期,20,2026-08-30 09:16:13
sz002873,Spring,97,8.175,10.011,0.2246,止盈,3,2026-08-30 09:16:13
sh603268,Spring,97,13.303,12.625,-0.051,止损,6,2026-08-30 09:16:13
sz002873,Spring,97,8.905,8.451,-0.051,止损,4,2026-08-30 09:16:13
bj920163,Spring,97,15.174,14.76,-0.0273,到期,20,2026-08-30 09:16:13
sh688195,Spring,80,15.294,15.647,0.0231,到期,20,2026-08-30 09:16:13
sh600850,Spring,97,13.108,14.364,0.0958,到期,20,2026-08-30 09:16:13
sz002240,Spring,89,11.461,10.877,-0.051,止损,19,2026-08-30 09:16:13
bj920476,Spring,97,6.003,7.264,0.2101,止盈,12,2026-08-30 09:16:13
sh605186,Spring,93,17.327,20.19,0.1652,止盈,4,2026-08-30 09:16:13
sz001210,Spring,96,6.394,7.691,0.2028,止盈,5,2026-08-30 09:16:13
sh605186,Spring,93,19.309,22.198,0.1496,止盈,1,2026-08-30 09:16:13
sh688065,Spring,90,38.275,46.623,0.2181,止盈,1,2026-08-30 09:16:13
sh688065,Spring,90,42.677,53.693,0.2581,止盈,1,2026-08-30 09:16:13
sh688065,Spring,90,55.992,53.139,-0.051,止损,1,2026-08-30 09:16:13
sh688065,Spring,90,54.469,51.694,-0.0509,止损,1,2026-08-30 09:16:13
sh605186,Spring,93,21.011,19.94,-0.051,止损,4,2026-08-30 09:16:13
sh688322,Spring,89,31.031,29.45,-0.0509,止损,1,2026-08-30 09:16:13
sh688322,Spring,89,29.349,27.854,-0.0509,止损,3,2026-08-30 09:16:13
sz001210,Spring,96,7.288,7.737,0.0616,到期,20,2026-08-30 09:16:13
sh688322,Spring,82,29.91,35.155,0.1754,止盈,2,2026-08-30 09:16:13
sh688322,Spring,82,33.383,39.421,0.1809,止盈,5,2026-08-30 09:16:13
sh688322,Spring,82,38.869,36.889,-0.0509,止损,4,2026-08-30 09:16:13
sz000852,Shakeout,94,6.066,7.473,0.2319,止盈,8,2026-08-30 09:16:13
sz000852,Shakeout,94,6.607,7.592,0.1491,止盈,1,2026-08-30 09:16:13
sz000852,Shakeout,94,7.558,7.173,-0.0509,止损,3,2026-08-30 09:16:13
sh688065,Spring,95,36.997,42.553,0.1502,止盈,9,2026-08-30 09:16:13
sz300333,Spring,83,14.434,15.904,0.1018,到期,20,2026-08-30 09:16:13
sh688501,Spring,82,9.285,9.789,0.0543,到期,20,2026-08-30 09:16:13
