symbol,type,conf,strategy,buy_px,sell_px,ret,reason,bars,close
sz300919,Spring,80,screener_value_accumulation,42.51,40.344,-0.0585,止损,6,2026-09-02 14:41:21
sh601872,Spring,92,paper_discipline_bull,5.469,5.19,-0.0586,止损,7,2026-09-02 14:41:21
sz000785,Spring,29,screener_value_accumulation,3.745,3.554,-0.0586,止损,7,2026-09-02 14:41:21
sz002114,Spring,98,paper_discipline_bull,6.607,7.592,0.1399,止盈,2,2026-09-02 14:41:22
sz002114,Spring,98,paper_discipline_bull,6.947,8.132,0.1612,止盈,3,2026-09-02 14:41:23
sz002316,Spring,97,paper_discipline_bull,4.835,5.854,0.2011,止盈,12,2026-09-02 14:41:24
sz000927,Spring,94,paper_discipline_bull,2.694,2.815,0.0366,到期,20,2026-09-02 14:41:26
sh688687,SC,61,screener_value_accumulation,21.382,20.293,-0.0585,止损,5,2026-09-02 14:41:27
sz300120,Shakeout,91,paper_discipline_bull,7.467,7.183,-0.0457,到期,20,2026-09-02 14:41:27
sh603650,Spring,97,paper_discipline_bull,29.383,27.886,-0.0585,止损,14,2026-09-02 14:41:28
sh603057,ST,33,screener_value_accumulation,23.666,22.46,-0.0585,止损,6,2026-09-02 14:41:28
sh688191,Spring,94,paper_discipline_bull,9.302,8.828,-0.0585,止损,1,2026-09-02 14:41:37
sh688191,Spring,94,paper_discipline_bull,9.098,8.634,-0.0586,止损,2,2026-09-02 14:41:39
sh688191,Spring,94,paper_discipline_bull,8.881,8.429,-0.0585,止损,4,2026-09-02 14:41:43
sz002848,Spring,92,paper_discipline_bull,9.89,11.628,0.1664,止盈,14,2026-09-02 14:41:46
sz300007,Spring,92,paper_discipline_bull,16.329,16.533,0.0044,到期,20,2026-09-02 14:41:48
sh600150,Spring,91,paper_discipline_bull,26.711,25.35,-0.0585,止损,17,2026-09-02 14:41:49
sh600535,Shakeout,90,paper_discipline_bull,12.562,13.719,0.0834,到期,20,2026-09-02 14:41:54
sz301525,Spring,96,paper_discipline_bull,58.849,69.031,0.1637,止盈,10,2026-09-02 14:42:10
sz001260,Spring,95,paper_discipline_bull,20.653,24.34,0.1691,止盈,11,2026-09-02 14:42:12
sz002738,Spring,71,screener_value_accumulation,35.919,34.089,-0.0585,止损,1,2026-09-02 14:42:12
sz301016,Spring,95,paper_discipline_bull,8.445,8.428,-0.01,到期,20,2026-09-02 14:42:14
sz301226,Spring,88,screener_value_accumulation,23.435,22.241,-0.0585,止损,13,2026-09-02 14:42:14
sz300633,Shakeout,78,screener_value_accumulation,48.468,46.629,-0.0456,到期,20,2026-09-02 14:42:18
sz300537,Spring,96,paper_discipline_bull,18.599,17.651,-0.0585,止损,8,2026-09-02 14:42:28
sz002738,Spring,92,screener_value_accumulation,33.223,38.557,0.1513,止盈,9,2026-09-02 14:42:29
sh688191,Spring,92,paper_discipline_bull,8.105,7.692,-0.0585,止损,13,2026-09-02 14:42:33
sh688569,Spring,86,screener_value_accumulation,22.467,26.033,0.1495,止盈,1,2026-09-02 14:42:40
sz002012,Spring,60,screener_value_accumulation,5.029,4.773,-0.0585,止损,3,2026-09-02 14:42:41
sz300225,SC,61,screener_value_accumulation,6.327,6.005,-0.0585,止损,4,2026-09-02 14:42:42
sh688569,Spring,42,screener_value_accumulation,26.542,25.19,-0.0585,止损,3,2026-09-02 14:42:42
sh688687,SC,57,screener_value_accumulation,21.334,24.537,0.141,止盈,2,2026-09-02 14:42:51
sh600535,SC,57,screener_value_accumulation,13.802,15.916,0.144,止盈,12,2026-09-02 14:43:08
sh688084,SC,61,screener_value_accumulation,53.207,50.496,-0.0585,止损,3,2026-09-02 14:43:14
sz300919,SC,58,screener_value_accumulation,31.305,36.194,0.147,止盈,16,2026-09-02 14:43:20
sz000513,Spring,90,paper_discipline_bull,33.231,34.077,0.0173,到期,20,2026-09-02 14:43:23
sh688084,SC,61,screener_value_accumulation,51.582,48.954,-0.0585,止损,14,2026-09-02 14:43:24
sz002628,SC,61,screener_value_accumulation,2.603,2.647,0.0088,到期,20,2026-09-02 14:43:25
sz001260,ST,29,screener_value_accumulation,15.785,14.981,-0.0585,止损,20,2026-09-02 14:43:25
sz300225,ST,47,screener_value_accumulation,6.108,5.797,-0.0585,止损,8,2026-09-02 14:43:25
sh688687,Spring,33,screener_value_accumulation,23.289,27.242,0.1604,止盈,3,2026-09-02 14:43:32
sz301116,Spring,34,screener_value_accumulation,8.067,9.668,0.1889,止盈,8,2026-09-02 14:43:39
sz301016,Spring,41,screener_value_accumulation,5.985,7.513,0.2453,止盈,10,2026-09-02 14:43:54
sz300225,Spring,65,screener_value_accumulation,5.839,5.542,-0.0584,止损,6,2026-09-02 14:44:04
sh688687,Spring,33,screener_value_accumulation,27.461,27.789,0.0039,到期,20,2026-09-02 14:44:06
sz000628,Shakeout,30,screener_value_accumulation,52.448,49.776,-0.0585,止损,5,2026-09-02 14:44:06
bj920339,Spring,86,screener_value_accumulation,4.174,4.082,-0.0298,到期,20,2026-09-02 14:44:07
sz300329,Spring,70,screener_value_accumulation,3.911,3.712,-0.0584,止损,7,2026-09-02 14:44:55
sz000628,Spring,5,screener_value_accumulation,39.748,46.239,0.154,止盈,8,2026-09-02 14:44:56
sh688687,SC,54,screener_value_accumulation,22.535,23.22,0.0222,到期,20,2026-09-02 14:45:20
sz002952,Spring,93,screener_value_accumulation,24.669,23.412,-0.0585,止损,1,2026-09-02 14:45:30
sh601872,Spring,97,paper_discipline_bull,7.533,7.149,-0.0585,止损,9,2026-09-02 14:45:37
sz300727,Spring,93,paper_discipline_bull,15.908,15.317,-0.0448,到期,20,2026-09-02 14:45:54
sh688191,Spring,97,paper_discipline_bull,6.617,8.209,0.2307,止盈,4,2026-09-02 14:46:09
sz300826,Spring,96,paper_discipline_bull,9.057,11.462,0.2555,止盈,4,2026-09-02 14:46:09
bj920339,Spring,95,screener_value_accumulation,3.747,4.846,0.283,止盈,4,2026-09-02 14:46:09
sh688191,Spring,97,paper_discipline_bull,7.622,9.053,0.1783,止盈,1,2026-09-02 14:46:10
sz300826,Spring,96,paper_discipline_bull,10.645,13.131,0.2237,止盈,1,2026-09-02 14:46:10
sh600866,Spring,94,paper_discipline_bull,5.182,6.057,0.1595,止盈,1,2026-09-02 14:46:10
sh688191,Spring,97,paper_discipline_bull,9.862,9.36,-0.0585,止损,1,2026-09-02 14:46:11
sz300826,Spring,96,paper_discipline_bull,13.712,13.013,-0.0585,止损,1,2026-09-02 14:46:11
sh600866,Spring,94,paper_discipline_bull,6.069,5.76,-0.0585,止损,1,2026-09-02 14:46:11
sh688191,Spring,97,paper_discipline_bull,8.744,8.298,-0.0586,止损,1,2026-09-02 14:46:12
sz300826,Spring,96,paper_discipline_bull,12.333,11.705,-0.0585,止损,1,2026-09-02 14:46:12
sh600866,Spring,94,paper_discipline_bull,5.884,5.584,-0.0585,止损,1,2026-09-02 14:46:12
sh688191,Spring,97,paper_discipline_bull,8.393,7.965,-0.0586,止损,1,2026-09-02 14:46:14
sz300826,Spring,96,screener_value_accumulation,11.562,10.973,-0.0585,止损,1,2026-09-02 14:46:14
sz301226,Spring,93,paper_discipline_bull,23.888,22.671,-0.0585,止损,1,2026-09-02 14:46:14
sz301226,Spring,93,paper_discipline_bull,22.017,20.895,-0.0585,止损,3,2026-09-02 14:46:17
sz300826,Spring,96,screener_value_accumulation,11.477,13.508,0.1676,止盈,4,2026-09-02 14:46:19
sz300120,Spring,86,screener_value_accumulation,10.09,12.607,0.2395,止盈,1,2026-09-02 14:46:19
sz300826,Spring,96,screener_value_accumulation,13.535,12.845,-0.0585,止损,4,2026-09-02 14:46:23
sz300120,Shakeout,90,screener_value_accumulation,11.461,13.816,0.1959,止盈,5,2026-09-02 14:46:24
sz300120,Shakeout,90,screener_value_accumulation,11.792,14.386,0.2103,止盈,1,2026-09-02 14:46:24
sz300826,Spring,96,screener_value_accumulation,12.811,12.158,-0.0585,止损,7,2026-09-02 14:46:25
sz300120,Shakeout,90,screener_value_accumulation,13.333,12.654,-0.0585,止损,5,2026-09-02 14:46:25
sh688191,Spring,97,paper_discipline_bull,8.094,9.511,0.1657,止盈,20,2026-09-02 14:46:25
sz000513,Shakeout,19,screener_value_accumulation,35.329,33.529,-0.0585,止损,10,2026-09-02 14:46:28
sz300826,Shakeout,48,screener_value_accumulation,14.406,13.672,-0.0585,止损,2,2026-09-02 14:46:35
sh600150,Shakeout,38,screener_value_accumulation,35.88,34.76,-0.0389,到期,20,2026-09-02 14:46:36
sz300826,Shakeout,48,screener_value_accumulation,14.144,16.539,0.16,止盈,7,2026-09-02 14:46:40
sz300826,Shakeout,48,screener_value_accumulation,15.239,14.463,-0.0585,止损,8,2026-09-02 14:46:42
sh600150,Spring,93,paper_discipline_bull,33.966,32.235,-0.0585,止损,18,2026-09-02 14:46:50
sz301016,Spring,60,screener_value_accumulation,10.287,10.652,0.0272,到期,20,2026-09-02 14:47:54
sz002012,SC,55,screener_value_accumulation,4.629,4.56,-0.0228,到期,20,2026-09-02 14:47:54
sz300633,SC,54,screener_value_accumulation,27.763,29.375,0.0496,到期,20,2026-09-02 14:47:54
sz002214,Spring,69,screener_value_accumulation,10.771,10.222,-0.0585,止损,16,2026-09-02 14:48:00
sh603057,Spring,49,screener_value_accumulation,17.213,19.268,0.1105,到期,20,2026-09-02 14:48:01
sz300826,Spring,85,screener_value_accumulation,12.425,11.792,-0.0585,止损,17,2026-09-02 14:48:01
sh600866,Spring,94,paper_discipline_bull,6.016,6.916,0.1404,止盈,1,2026-09-02 14:48:47
sz300633,Spring,94,paper_discipline_bull,30.501,31.279,0.0173,到期,20,2026-09-02 14:49:39
sz002012,Spring,83,screener_value_accumulation,4.45,4.899,0.0921,到期,20,2026-09-02 14:49:39
sh600535,Shakeout,60,screener_value_accumulation,14.762,15.701,0.0551,到期,20,2026-09-02 14:49:39
sh600395,SC,57,screener_value_accumulation,4.634,4.429,-0.0519,到期,20,2026-09-02 14:49:41
sz301116,Spring,28,screener_value_accumulation,11.231,11.039,-0.0249,到期,20,2026-09-02 14:49:49
sz002628,Shakeout,67,screener_value_accumulation,4.164,4.925,0.1733,止盈,18,2026-09-02 14:50:09
sh688687,Spring,85,screener_value_accumulation,26.266,31.637,0.1949,止盈,6,2026-09-02 14:50:22
sz300727,Spring,96,paper_discipline_bull,25.252,29.016,0.1399,止盈,20,2026-09-02 14:50:24
sz002523,Spring,91,paper_discipline_bull,3.555,3.99,0.1134,到期,20,2026-09-02 14:50:27
sz300329,Spring,78,screener_value_accumulation,12.012,11.4,-0.0585,止损,1,2026-09-02 14:50:28
sz301335,Spring,96,paper_discipline_bull,33.785,32.064,-0.0585,止损,7,2026-09-02 14:50:28
sz002012,Shakeout,76,screener_value_accumulation,5.342,6.288,0.1677,止盈,10,2026-09-02 14:50:29
sz000785,Spring,97,paper_discipline_bull,2.843,3.107,0.0842,到期,20,2026-09-02 14:50:34
sz301335,Spring,96,paper_discipline_bull,32.385,34.63,0.0608,到期,20,2026-09-02 14:50:34
sz002012,Shakeout,76,screener_value_accumulation,6.181,5.866,-0.0585,止损,17,2026-09-02 14:50:35
sh688191,Spring,94,paper_discipline_bull,18.438,17.499,-0.0585,止损,5,2026-09-02 14:50:37
sh603057,Spring,62,screener_value_accumulation,25.31,24.02,-0.0585,止损,4,2026-09-02 14:50:37
sh603057,Spring,62,screener_value_accumulation,25.281,23.993,-0.0585,止损,1,2026-09-02 14:50:38
sh603057,Spring,62,screener_value_accumulation,23.622,22.418,-0.0585,止损,5,2026-09-02 14:50:41
sz000785,Spring,97,screener_value_accumulation,3.093,3.077,-0.0131,到期,20,2026-09-02 14:50:49
sh605366,Spring,93,paper_discipline_bull,6.266,5.947,-0.0585,止损,14,2026-09-02 14:50:50
sz300120,Shakeout,23,screener_value_accumulation,10.36,9.832,-0.0585,止损,4,2026-09-02 14:50:56
sh603169,Spring,91,paper_discipline_bull,7.708,8.452,0.0878,到期,20,2026-09-02 14:51:11
sz300120,Shakeout,23,screener_value_accumulation,10.06,12.308,0.2137,止盈,8,2026-09-02 14:51:18
sz002848,Spring,94,paper_discipline_bull,7.808,7.942,0.0091,到期,20,2026-09-02 14:51:58
sz300826,Spring,94,paper_discipline_bull,13.474,13.633,0.0037,到期,20,2026-09-02 14:52:12
sh605366,Spring,77,screener_value_accumulation,6.186,6.883,0.1038,到期,20,2026-09-02 14:52:14
sh600644,Spring,99,paper_discipline_bull,11.19,10.62,-0.0585,止损,12,2026-09-02 14:52:15
sz301335,Spring,96,paper_discipline_bull,31.051,29.469,-0.0585,止损,5,2026-09-02 14:52:15
sz000785,Spring,97,screener_value_accumulation,3.153,2.992,-0.0586,止损,4,2026-09-02 14:52:49
sz300329,Spring,79,screener_value_accumulation,17.948,17.034,-0.0585,止损,4,2026-09-02 14:52:49
sz301226,Spring,87,screener_value_accumulation,29.08,33.46,0.1415,止盈,5,2026-09-02 14:52:52
sz000785,Spring,97,screener_value_accumulation,3.093,2.935,-0.0586,止损,8,2026-09-02 14:53:44
sh600644,Spring,93,paper_discipline_bull,9.792,11.457,0.1607,止盈,11,2026-09-02 14:54:33
sz000513,Spring,96,paper_discipline_bull,33.253,34.236,0.0214,到期,20,2026-09-02 14:54:34
sh600866,Spring,95,paper_discipline_bull,6.336,6.822,0.0681,到期,20,2026-09-02 14:54:34
sh600395,ST,52,screener_value_accumulation,4.699,5.401,0.1402,止盈,7,2026-09-02 14:54:41
sh601005,Spring,96,paper_discipline_bull,1.421,1.528,0.0667,到期,20,2026-09-02 14:54:57
sz300537,Spring,90,screener_value_accumulation,24.004,26.224,0.0838,到期,20,2026-09-02 14:54:59
sh600644,Spring,93,screener_value_accumulation,11.071,12.913,0.1571,止盈,14,2026-09-02 14:55:01
sz300329,Spring,80,screener_value_accumulation,14.344,13.613,-0.0585,止损,5,2026-09-02 14:55:02
sh688569,Spring,36,screener_value_accumulation,21.587,20.487,-0.0585,止损,12,2026-09-02 14:55:10
sz300439,Spring,94,paper_discipline_bull,9.882,9.379,-0.0585,止损,11,2026-09-02 14:55:11
sz300225,Spring,55,screener_value_accumulation,5.105,5.305,0.0309,到期,20,2026-09-02 14:55:20
sz300919,Spring,51,screener_value_accumulation,48.954,57.43,0.1638,止盈,7,2026-09-02 14:56:17
sz000513,Spring,55,screener_value_accumulation,32.985,31.304,-0.0585,止损,12,2026-09-02 14:56:33
sh688687,Spring,71,screener_value_accumulation,21.206,20.126,-0.0585,止损,14,2026-09-02 14:56:34
sz000628,Spring,37,screener_value_accumulation,63.219,59.998,-0.0585,止损,3,2026-09-02 14:56:35
sz000785,SC,57,screener_value_accumulation,2.633,2.499,-0.0585,止损,16,2026-09-02 14:56:40
sz300225,Shakeout,19,screener_value_accumulation,6.476,7.502,0.1492,止盈,9,2026-09-02 14:56:41
sz002214,Shakeout,93,paper_discipline_bull,19.77,18.763,-0.0585,止损,2,2026-09-02 14:56:42
sz300225,Shakeout,19,screener_value_accumulation,7.207,8.521,0.1729,止盈,5,2026-09-02 14:56:46
sz002012,Spring,33,screener_value_accumulation,6.9,8.57,0.2321,止盈,16,2026-09-02 14:56:48
sz002214,Shakeout,93,paper_discipline_bull,19.019,18.05,-0.0585,止损,6,2026-09-02 14:56:49
sz300225,Shakeout,19,screener_value_accumulation,8.779,8.332,-0.0585,止损,8,2026-09-02 14:57:00
sz300120,Spring,78,screener_value_accumulation,9.069,8.607,-0.0585,止损,3,2026-09-02 14:57:16
sz300120,Spring,78,screener_value_accumulation,9.239,8.768,-0.0585,止损,1,2026-09-02 14:57:18
sz300120,Spring,78,screener_value_accumulation,8.529,11.009,0.2805,止盈,3,2026-09-02 14:57:26
