symbol,type,conf,strategy,buy_px,sell_px,ret,reason,bars,close
sh605555,Spring,100,paper_discipline_bull,16.688,15.729,-0.065,条件单:stop_loss,0,2026-09-05 19:10:40
sh605555,Spring,100,paper_discipline_bull,16.089,15.416,-0.0495,条件单:stop_loss,1,2026-09-05 19:10:42
sh605336,ST,100,paper_discipline_bull,13.922,13.475,-0.0398,条件单:stop_loss,10,2026-09-05 19:10:48
sh605555,Spring,100,paper_discipline_bull,15.688,14.818,-0.063,条件单:stop_loss,7,2026-09-05 19:10:48
sh603963,Spring,100,screener_value_accumulation,11.552,10.989,-0.0563,条件单:stop_loss,0,2026-09-05 19:10:49
sh605399,ST,100,paper_discipline_bull,15.09,18.225,0.1981,条件单:take_profit,1,2026-09-05 19:10:49
sh605399,ST,100,paper_discipline_bull,17.739,16.406,-0.0825,条件单:stop_loss,0,2026-09-05 19:10:50
sh603963,Spring,100,screener_value_accumulation,11.101,10.21,-0.0876,条件单:stop_loss,1,2026-09-05 19:10:50
sh603888,Spring,100,paper_discipline_bull,14.568,14.109,-0.0392,条件单:stop_loss,0,2026-09-05 19:10:51
sh605399,ST,100,paper_discipline_bull,16.548,16.809,0.0077,空头信号卖出,1,2026-09-05 19:10:51
sh605399,ST,100,paper_discipline_bull,14.794,15.876,0.0646,空头信号卖出,1,2026-09-05 19:10:52
sh605399,ST,100,paper_discipline_bull,16.36,15.384,-0.0672,条件单:stop_loss,0,2026-09-05 19:10:52
sh605318,Spring,100,paper_discipline_bull,13.294,15.544,0.1599,条件单:take_profit,1,2026-09-05 19:10:52
sh605318,Spring,100,paper_discipline_bull,14.468,16.843,0.1549,条件单:take_profit,5,2026-09-05 19:10:55
sh603909,Spring,100,paper_discipline_bull,9.787,8.802,-0.1078,条件单:stop_loss,7,2026-09-05 19:10:55
sh605599,Spring,100,paper_discipline_bull,9.767,11.84,0.2026,条件单:take_profit,2,2026-09-05 19:10:59
sh605499,Spring,100,paper_discipline_bull,94.37,106.409,0.1186,空头信号卖出,26,2026-09-05 19:11:24
sh605507,ST,100,paper_discipline_bull,10.47,9.939,-0.0583,条件单:stop_loss,3,2026-09-05 19:11:24
sh605599,Spring,100,paper_discipline_bull,10.942,12.656,0.1474,条件单:take_profit,28,2026-09-05 19:11:25
sh603969,ST,100,paper_discipline_bull,5.103,6.106,0.187,条件单:take_profit,4,2026-09-05 19:11:27
sh605016,Spring,100,paper_discipline_bull,14.156,16.543,0.1593,条件单:take_profit,21,2026-09-05 19:11:50
sh605507,ST,100,screener_value_accumulation,10.171,11.966,0.1671,条件单:take_profit,16,2026-09-05 19:11:52
sh605369,Spring,100,paper_discipline_bull,25.719,25.922,-0.0001,空头信号卖出,1,2026-09-05 19:11:54
sh605369,Spring,100,paper_discipline_bull,25.621,25.976,0.0058,空头信号卖出,1,2026-09-05 19:11:56
sh605368,Spring,100,paper_discipline_bull,11.132,12.14,0.0819,空头信号卖出,8,2026-09-05 19:12:06
sh603960,ST,100,paper_discipline_bull,24.372,23.216,-0.055,条件单:stop_loss,1,2026-09-05 19:12:07
sh603960,ST,100,paper_discipline_bull,24.065,22.672,-0.0654,条件单:stop_loss,0,2026-09-05 19:12:08
sh605598,Spring,100,screener_value_accumulation,18.41,21.174,0.141,条件单:take_profit,20,2026-09-05 19:12:09
sh603960,ST,100,paper_discipline_bull,23.252,22.177,-0.0538,条件单:stop_loss,7,2026-09-05 19:12:09
sh605338,Spring,100,paper_discipline_bull,13.458,12.887,-0.0501,条件单:stop_loss,7,2026-09-05 19:12:19
sh603869,ST,100,paper_discipline_bull,5.11,4.921,-0.0447,条件单:stop_loss,11,2026-09-05 19:12:22
sh605398,Spring,100,paper_discipline_bull,14.966,14.297,-0.0523,条件单:stop_loss,0,2026-09-05 19:12:23
sh605268,Spring,100,paper_discipline_bull,6.635,6.422,-0.0398,条件单:stop_loss,10,2026-09-05 19:12:36
sh605068,Spring,100,screener_value_accumulation,13.235,12.74,-0.0451,条件单:stop_loss,25,2026-09-05 19:13:23
sh605369,ST,100,screener_value_accumulation,20.151,19.496,-0.0402,条件单:stop_loss,4,2026-09-05 19:13:31
sh605368,Spring,100,paper_discipline_bull,11.746,12.887,0.0884,空头信号卖出,46,2026-09-05 19:13:32
sh605177,Spring,89,screener_value_accumulation,21.201,19.021,-0.11,条件单:stop_loss,0,2026-09-05 19:13:33
sh603990,Spring,100,paper_discipline_bull,6.997,8.252,0.17,条件单:take_profit,5,2026-09-05 19:13:41
sh605488,Spring,100,paper_discipline_bull,8.36,9.043,0.0731,空头信号卖出,2,2026-09-05 19:13:48
sh605598,Spring,100,paper_discipline_bull,16.549,15.822,-0.0515,条件单:stop_loss,9,2026-09-05 19:14:15
sh605555,ST,100,paper_discipline_bull,11.304,13.336,0.1704,条件单:take_profit,22,2026-09-05 19:14:54
sh605599,ST,100,paper_discipline_bull,8.9,10.843,0.2086,条件单:take_profit,7,2026-09-05 19:14:59
sh605599,ST,100,paper_discipline_bull,10.417,10.907,0.0387,空头信号卖出,1,2026-09-05 19:15:03
sh605599,ST,100,paper_discipline_bull,11.797,9.995,-0.1595,条件单:stop_loss,0,2026-09-05 19:15:06
sh605599,ST,100,paper_discipline_bull,10.782,10.004,-0.0796,条件单:stop_loss,0,2026-09-05 19:15:10
sh605077,ST,100,paper_discipline_bull,13.557,12.84,-0.0604,条件单:stop_loss,0,2026-09-05 19:15:12
sh605077,ST,100,paper_discipline_bull,13.267,12.831,-0.0406,条件单:stop_loss,8,2026-09-05 19:15:30
sh603963,Spring,94,screener_value_accumulation,2.883,3.397,0.1689,条件单:take_profit,9,2026-09-05 19:15:33
sh605599,ST,91,screener_value_accumulation,9.914,10.122,0.0128,空头信号卖出,3,2026-09-05 19:15:34
sh605599,ST,91,screener_value_accumulation,10.097,10.223,0.0044,空头信号卖出,1,2026-09-05 19:15:34
sh605599,ST,91,screener_value_accumulation,10.161,10.04,-0.0198,空头信号卖出,1,2026-09-05 19:15:35
sh603882,Spring,73,screener_value_accumulation,33.199,31.432,-0.0608,条件单:stop_loss,0,2026-09-05 19:15:35
sh603882,Spring,73,screener_value_accumulation,31.771,30.747,-0.0399,条件单:stop_loss,0,2026-09-05 19:15:35
sh603979,Spring,100,paper_discipline_bull,39.23,40.258,0.018,空头信号卖出,1,2026-09-05 19:15:36
sh603979,Spring,100,paper_discipline_bull,38.416,41.041,0.0598,空头信号卖出,1,2026-09-05 19:15:36
